nama;waktu;ulasan;sentimen
Hendrick Ben Matulessy;3 tahun lalu;Tempat wisata yg dikelola dengan bagus. Cafe didalam goa menyediakan kopi yg cukup baik.;Positif
Bowo Sorela;3 tahun lalu;Goa yg alami,parkir,toilet udah komplit,Di dlm gua ada kafe dan live music.Top markotop gua berlantai 3;Netral
rizal factur;3 tahun lalu;Bagus tempatnya. Recommended;Positif
Indri Anggryini;3 tahun lalu;Butuh waktu kira2 20memit buat sampe ke Goa Soekarno jika anda sdh ada di Pantai Salopeng Sumenep Madura. Good place....nice place;Netral
Biker Insyaf;3 tahun lalu;Klo siang puanassss;Netral
Moh Holil;3 tahun lalu;Bagus dan pelayanannya lumayan memuaskan, plusnya lagi ada fasilitas fotografer gratisnya;Positif
Nisma cimutt official;3 tahun lalu;Goa sukarno sangat bagus dengan panorama alam nya dan spot foto pokok nya the best;Positif
SURYADI;3 tahun lalu;Di lelola dg baik shg menarik minat wisata utk berkunjung;Netral
Herida Madaya;3 tahun lalu;Spot selfy dalam goa... Goanya ber AC.. Jd ga panas didalam...;Netral
Moh Idris;3 tahun lalu;Tempat ini bersejarah .... Karena disini adalah dimana bung Karno bersemedi... Dan juga Sayyid .... Para ulama terdahulu......;Netral
Draf Darul Ma'rifat;3 tahun lalu;Saya suka tempat ini. Saya juga di beri kesempatan untuk nyanyi disitu. Pelayanannya baik;Netral
Fatih;3 tahun lalu;Bagus tapi kurang alami;Positif
Mohammad Subaidiy;3 tahun lalu;Sport fotonya bagus2, dan terlihat alami;Positif
Ijal SlowMo??;3 tahun lalu;Bagus untuk refresing di goa, penerangan cukup baik;Positif
Syahrizal Hoesny (dhiencdhanc);3 tahun lalu;Bagus utk refreshing bersama keluarga;Positif
uswatun Wilda;3 tahun lalu;Goa Sukarno Minang menyenangkan dan unik...tingkat lagi;Netral
rethoers demak;3 tahun lalu;Tempat rekreasi goa batu kapur;Netral
Imam Yahya;3 tahun lalu;Spot fotonya keren banget;Positif
Purwanto Tok;3 tahun lalu;Wisata goa yg ada di kota sumenep;Netral
M Fandari;3 tahun lalu;Krn suasananya menyenangkan;Netral
Alim nyamako;3 tahun lalu;Sangat bagus untuk dikunjungi;Positif
Samsul Adnan;3 tahun lalu;Ini adalah waisata alam terbaik;Netral
Yogi Hermanta;3 tahun lalu;kopinya mantap;Netral
Fefen Rambo;3 tahun lalu;Tempatnya nyaman;Netral
Iffah Asith;3 tahun lalu;Lewat aja;Netral
Febrian Riski Kurniawan;3 tahun lalu;Tempatnya bagus;Positif
S2R Kids;3 tahun lalu;Soap, ojeng, dibenahi lagi.;Netral
Moch. Rizky Firmansyah;3 tahun lalu;Tempatnya artistik..;Netral
Nurus Dahri;3 tahun lalu;Natural banget pokoknya;Netral
Soccer TV;3 tahun lalu;Lumayan bagus;Positif
Edi Susanto;3 tahun lalu;Cari tempat xshotis;Netral
andrie rusdiansyah;3 tahun lalu;Bagus banget;Positif
SisKanciL;3 tahun lalu;Mantap...;Netral
Lukman Hakim;3 tahun lalu;Mantap abis;Netral
Moh Hairul Samsi;3 tahun lalu;Tempat nyantai.;Netral
Riza fahlevi Muhaimin;3 tahun lalu;Tempat yang sangat indah;Positif
AL ASFI;3 tahun lalu;Mantap betul;Netral
Ike Verawati;3 tahun lalu;Indahhh???? …;Positif
BENGKEL SETIA;3 tahun lalu;Mantul;Netral
husnul huluq;3 tahun lalu;Fantastis;Netral
Raden Budiarta;3 tahun lalu;Joss;Netral
Ahmad Rida'i;3 tahun lalu;Bagus;Positif
Ners Syamsi;3 tahun lalu;Bagus;Positif
Yushlih Amanah;3 tahun lalu;Bagus;Positif
Dika K-Popers;3 tahun lalu;Bagus;Positif
Siti Zainab;3 tahun lalu;Bagusss;Positif
Story Bola;3 tahun lalu;Kerrend;Netral
AGUS KUSAIRI;3 tahun lalu;Tempat eksoti …;Netral
Naufal El Fany;4 bulan lalu;Bagus tempatnya, meski rasa guanya tidak lagi alami;Positif
Sirajul Munir;4 tahun lalu;Wisata Gua Soekarno terletak di Desa Panaongan, Kecamatan Pasongsongan, Sumenep. Jaraknya hanya sekitar 40-45 menit dari pusat kota Sumenep. …;Netral
??????? ????????;4 tahun lalu;Destinasi Wisata Baru berupa Goa Alam yg ada di Desa Panaongan Kec. Pasongsongan Sumenep,, Areal Sangat Luas,, Didalamnya Color Full,, Ada Cafe,, Pertunjukan Musik,, Banyak Spot Selfie yang Beraneka Warna Sorotan Lampu,, Tidak Terasa Pengap …;Netral
Adnm adnm;4 tahun lalu;Rekom bgt. Buat kalian yg mau refreshing. Tiket lumyn murah, tempatnya adem sejuk indah ke mata, apa lagi buat nongkrong cocok untuk yg pecinta musik d sana free acousticnya... Saran aj. Kalau bs makanannya jangan terlalu mahal yah kak..;Positif
Romdhan Feriyadi;4 tahun lalu;Yang menjadi bagus karna udah dikasi lampu warna warni didalam goa, ada cafe dan tempat makan juga. Karaoke juga bisa ?? …;Positif
DAT.;4 tahun lalu;Goa Soekarno, Destinasi yg sangat rekomended saat berada di Sumenep, Jawa Timur. Dengan tidak merusak dan mempertahankan bentuk asli Goa yg alami ditambah polesan sedikit penerangan di setiap sudut Goa dg pancaran lampu warna warni, membuat …;Netral
Alesandro Mawardi;4 tahun lalu;Tempat wisata berupa gua alam. Tempatnya bagus, guanya luas, cukup tertata dan terkelola dengan baik. Meskipun masih banyak kekurangan fasilitas yang perlu diperbaiki kedepannya. Tempat parkir, penataan pedagang, taman dan peneduh …;Positif
Gadget Trik & info GTI;4 tahun lalu;Rame kalo saat liburan, lumayan bagus, tapi gk da wahana2 disini, hanya goa dan tempat2 Selfie.;Positif
Ummul Khair Ahmaya;4 tahun lalu;Yang bikin penasaran orang orang karena ini wisata baru yang namanya mencuat hanya dalam waktu tiga hari. Wow bangetttt...  Di dalam instagramable banget. Wajib ke sana deh.;Netral
kumpulan edit Alight Motion;4 tahun lalu;Bersama keluarga takziyah ke Sumenep kembalinya berkunjung ke GOA SOEKARNO terletak di Pasongsongan Sumenep Madura;Netral
Abu Nayeef;4 tahun lalu;Tempatnya lumayan bagus lah, cuma sayang gak ada penjelasan sejarah nya gimana .... Petugas nya juga ramah.;Positif
Eko Cahyono;4 tahun lalu;Keren banget. Gak nyesel kesini. Harga tiketnya murah;Positif
Van Tetsu;4 tahun lalu;Tempat bagus, saran masih blum terdapat denah didalam venue dan fasilitas toilet perlu ditambah dalam venue, jdi ketika ad pengunjung mo ke toilet tidak perlu kluar venue;Positif
Virgo Aryanto;4 tahun lalu;Jalan menuju lokasi wisata dah OK , hanya tempat parkir blm paving , Parkir Mobil 5000 saja , untuk HTM per orang 15.000;Netral
Obat Hati;4 tahun lalu;Tempatnya kotor, di dalam tdk original lagi terkesan buatan;Negatif
fadel abu aufa;4 tahun lalu;Amazing baru pertama di madura, di dalam goa ada cafenya, suasana sangat mendukung dan tidak pengap bikin pingin berlama-lama berada di dalam goa;Netral
Apri Darmawansah;4 tahun lalu;tempatnya keren indah manis sejuk damai BAGI para jomblo segera merapat...;Positif
Shinta Embem;4 tahun lalu;Goa yg menawan, indah dan memanjakan mata yg memandang;Positif
Finalia Meriana;4 tahun lalu;Mahakarya alam yg Indah.. Perlu sentuhan sdkt biar lbh mantul;Positif
Ryu Chi;4 tahun lalu;Sangat bagus, tarif parkir mobil cuma 5k dan sepeda motor cuma 3k.. tiket masuk murah meriah cuma 15k.. ada cafe yg menyediakan berbagai minuman dan makanan.. recomended lah buat pecinta adventure alam.. goanya sangat luas dan eksotis, di dalam suhunya juga sejuk. Overall its okay!!!;Positif
Rudy Prayitno (Rudy SP);4 tahun lalu;Goa dilaunching 8 Juni 2019. Penemu Sukardi. Dinamakan Soekarno karena saat bertapa banyak menggunakan atribut Presiden RI pertama. Kondisi sudah dilengkapi dengan tata lampu, artistik, cafe dalam dan Pertunjukkan Musik. Suasana sejuk, …;Netral
Fadhal Hidayatullah;4 tahun lalu;Goa yang masih terjaga keasliannya ini terletak tidak sekitar 5-10 KM dari Pantai Slopeng. Goa dengan spot Foto bagus ini memanjakkkan pengunjung yang suka mengabadikan Moment dengan berfoto. Rekomendasi buat kalian yang ingin mengambil spot foto yang bagus. Ada fasilitas Cafe di dalamnya.;Positif
Mustafa Ibrahim;4 tahun lalu;"Very good, tempat yg sangat indah.. recomended buat wisatawan.
Warga setempat juga sangat ramah dan sangat welcome terhadap wisatawan.
Tarif parkir murah meriah dan HTM juga sangat terjangkau.. …";Positif
Yusuf Agung Nugroho;4 tahun lalu;Destinasi wisata baru di Sumenep, tempatnya bersih terawat, pengaturan cahaya dan lampunya bagus, cocok buat yg ongen jalan2 bareng keluarga tapi tidak mau jauh2. …;Positif
Mohammad Zafradi Wagiono;4 tahun lalu;Banyak spot foto, tapi akses jalan ke lokasi sempit, jadi lebih baik bila bawa mobil yg bodi kecil saja biar klo papasan enak;Netral
Mr Faisal;4 tahun lalu;Tempatnya sangat bagus sekali..tp untuk fasilitas jln masuknya masih perlu perbaikan trus tempat istirahat untuk parkir driver blm ada;Positif
Dapur alka;4 tahun lalu;Pernah berkunjung tempatnya oke bgt keren eksotis masih alami ada live musik cafenya keren nyaman harga cukup terjangkau jarang ada di tempat lain wajib datang gaes;Positif
Madura Vacation;4 tahun lalu;"Sebuah karya inovasi yg spektakuler dalam dunia pariwisata di sumenep,
anda akan takjub jika berada dalam goa soekarno dan akan merasa kerasan pingin berlama-lama menikmati suasana yg sangat mendukung untuk nyantai, …";Netral
khalilur elzain;4 tahun lalu;Berangkat nafsu pulang kecewa karena pas macet;Netral
HARYADI KURNIAWAN;4 tahun lalu;Goa yang bagus. Sejarah pemberian nama goa Soekarno Menurut warga setempat, ada seorang musafir yg tinggal disitu, dan musafir itu menyukai Soekarno shg banyak foto dan segala hal ttg Soekarno. Krn hal itu kemudian diberi nama goa Soekarno. Dan goa ini gada kaitannya dengan bung karno langsung;Positif
Taufan Efendi;4 tahun lalu;Bagus tempatnya..;Positif
ach choirul;4 tahun lalu;Lokasi menarik, eksotis dan unik. Saran lebih banyak diberikan petunjuk arah menuju lokasi, agar Wisatawan tidak bingung.;Netral
BilQulub 94;4 tahun lalu;"Wisata baru dari kota Sumenep Madura
Kalau suka wisata plus tempat nongkrong nyemal nyemil tapi view keren tmpt ini cocok banget
Harga juga murah";Positif
Hosnan Edyan;4 tahun lalu;"Lahan parkir luas namun perlu pengelaloaan  shg kesan masih kurang bagus....
Saran petunjuk ke goa Soekarno perlu dibuat arah ke goa  ..";Positif
Rohim Dasuki;4 tahun lalu;Nyaman, adem, indah di pandang;Positif
Ali SOBAT_;4 tahun lalu;"Tempatnya Bagus Sekali Is the best deh Tapi Mushollanya di Renov lagi ya kakak.
Kan Biar Enak";Positif
Sumenep Tour 86 tv;4 tahun lalu;Bagus goa soekarna ..yang mau ke wisata sumenep .khususnya pulau gili labak dan pantai 9..hub kami SUMENEP TOUR 86;Positif
Ferry Saputra;4 tahun lalu;Tempat wisata favourite baru di sumenep, bersih dan sejuk. Jauh dari kesan kumuh dan pengap seperti wisata gua lainnya di indonesia;Netral
DINASTY;4 tahun lalu;Gua Soekarno sangat cocok sebagai tempat belajar. Bagi guru bisa mengajak siswanya untuk mengenal gua lebih dekat;Netral
Zidna Ilma;4 tahun lalu;"Sya merasa terdzolimi......  akses masuk dari parenduwen ancur..
Mobil hmpir rusak..
Tiket masuk mahal..";Negatif
Muhaimin Omienk;4 tahun lalu;Tempat wisata baru yg menakjubkan, refrensi bagi yg mau berwisata.;Netral
Mohammad Zulkarnain;4 tahun lalu;Bikers Muslim gassss ke goa Soekarno;Netral
Wisata Madura;4 tahun lalu;Tempat menarik dan eksotis. Cocok untuk bersantai bersama keluarga.;Netral
mz_aris 1;4 tahun lalu;Tempat rekreasi yang penuh dengan keindahan, tempat ini juga cocok sebagai tujuan wisata;Positif
iful konslet;4 tahun lalu;Tempat nongkrong kekinian tpi tetap ya harus merawat keasrian ketika berkunjung ke tempat ini;Netral
kocheng ganteng;4 tahun lalu;Salah satu objek wisata yang cocok buat mengisi liburan;Netral
Santa Rosa;4 tahun lalu;Destinasi wisata asli bukan hoax. Nikmatilah suasana ngopi bareng di Goa Soekarno.;Netral
Rina Dasma32;4 tahun lalu;Penjaga barang titipan kurang bertanggung jawab atas barang-barang pengunjung yg dititipkan, kemaren barang saya sendiri yang hilang.;Netral
hosnol Alizain;4 tahun lalu;Asyik;Netral
abi oleolang;4 tahun lalu;KERREENNNN BANGET;Netral
DUDI INDRAYATNO;4 tahun lalu;Bagus, ada cafe live music , indah;Positif
Jajak Sekitar;4 tahun lalu;Asyik. Luas. Enggak pengap. Menyenangkan. Refresh beneran..;Netral
Habibi Rahman;4 tahun lalu;Lumayan bagus cuman kurang rame;Positif
Budi Kurniawan Mugcantik;4 tahun lalu;Sip;Netral
J3 Pro Dunia Cell;4 tahun lalu;Keindahan yang dibangun terlalu bertumpu pada lampu;Positif
CHannel ABAL ABAL;4 tahun lalu;Mntap,pamandnagn bawah tanah yg istimewa.....;Netral
Syazna Maulida;4 tahun lalu;Kerenn;Positif
Suri Channel 77;4 tahun lalu;Eksotisme guwa dengan renovasi modern ala kota Sumekar Sumenep;Netral
Nahrulla Arul;4 tahun lalu;Mantap... Tempat yang indah mempesona. Jelajah Goa Soekarno;Positif
Adink Barelank;4 tahun lalu;Lumayan lah buat liburan;Netral
AKHMAD NOFIL;4 tahun lalu;Menakjubkan;Netral
Halifi;4 tahun lalu;Cocok bagi yang suka selfie;Netral
Sinta Agustina;4 tahun lalu;Bagus juga menarik;Positif
Agus Irawan;4 tahun lalu;Panas poolll rame loket satu;Netral
Ahmat Ahmat;4 tahun lalu;Bagus;Positif
abillio ghafur;4 tahun lalu;tempatnya baguss;Positif
Ainun Hofi;4 tahun lalu;Tempatnya asri;Netral
taufiqur rahman;4 tahun lalu;Smg smkin meningkatkan kwalitas;Netral
radenrandyjun;4 tahun lalu;Ada cafe jg ?? …;Netral
Riskiyah Rifai;4 tahun lalu;Bagus;Positif
NENG dan AA CHANNEL;4 tahun lalu;Keren bgt;Positif
Afif Ishmah;4 tahun lalu;"Tempat indah
Mmnghilangkan lekah";Positif
Dhydiet F;4 tahun lalu;Bagus dan alami;Positif
Muhammad Muhdhar;4 tahun lalu;Bagus,menakjubkan;Positif
Adiyono Diyon;4 tahun lalu;Semoga Sumenep semakin jaya;Netral
Ach Muzanny;4 tahun lalu;Indah pengen nyampek lagi;Positif
Umamah 95;4 tahun lalu;Sangat bagus;Positif
Edy Rai;4 tahun lalu;Sangat keren;Positif
Badry Cengkal*59;4 tahun lalu;Kurang nyaman;Netral
Agus Sulastio;4 tahun lalu;Lumayan;Netral
Kiky Noufall;4 tahun lalu;Kren;Netral
Zainor Rahcman;4 tahun lalu;Mantap pull;Netral
NASIR PUTRA KADES;4 tahun lalu;Keren;Positif
Khoir Nahrawi;4 tahun lalu;Indah;Positif
Willy Safitry35;4 tahun lalu;Subhanallah;Netral
Ben Rush;4 tahun lalu;Keren...???????????? …;Positif
Nisrina Hikmawati;4 tahun lalu;Keren;Positif
Dream Light;4 tahun lalu;Bagus;Positif
aditya wicaksono;4 tahun lalu;Tempat yang bagus untuk menghabiskan liburan. Mudah-mudahan akan lebih baik lain kali kita  …;Positif
noviana citrayati;4 tahun lalu;"Sungguh indah sekali tempatnya...???????? Cara lain menikmati ciptaan Yang Maha Kuasa..
“Fa bi’ayyi aalaaa’i robbikuma tukadd …";Positif
Lisal Anbiyah;4 tahun lalu;gua yang benar-benar alami dengan cahaya mengelilingi Anda .. A …;Netral
Alfqs;4 tahun lalu;Tempat yang sangat spe …;Netral
Bintang Putih;4 tahun lalu;"perlu mempercantik lagi
salin Gua Permaisur …";Positif
JAMIL;4 tahun lalu;Sangat bag …;Netral
Ruli Septiana Dwi Jayanti;4 tahun lalu;Sangat ba …;Netral
Yesi dwi diastutik;4 tahun lalu;Ke be …;Netral
Mas 'Edi;4 tahun lalu;Sejarah;Netral
HERAWAN OETOMO;4 tahun lalu;Keren;Positif
setiabudi aluminium;4 tahun lalu;Luar bi …;Netral
Rosi Fahrul;4 tahun lalu;Fantastis;Netral
Achmad Renaldi;4 tahun lalu;direkomendasikan  …;Netral
Fahrio Azril Wizam Wafi;4 tahun lalu;Cantik;Positif
Bos.yono Bos;4 tahun lalu;Kereeeeennn.....?????? …;Netral
abdurrauf faqih;4 tahun lalu;Keren;Positif
bama hidayanto;4 tahun lalu;Luar biasa …;Netral
Wa Weng;5 bulan lalu;Tempatnya bagus cocok buat bawa istri atau keluarga;Positif
Nor Azizah;sebulan lalu;Akhirnya berakhir;Netral
yusfrie virgianto;setahun lalu;Perlu pembenahan ketika masuk dan area ketika keluar dari Gua...cocok buat santai minum kopi dan mendengarkan alunan lagi...buatlah petunjuk arah menuju Gua dan  perlu penataan agar bisa menjadi pilihan wisata di Madura;Netral
Ach Hamdani;setahun lalu;"Keren tempatnya??
Bagus untuj para keluarga atau anak muda buat poto poto.. Selfi oke bet …";Positif
Nawiyatul Qomariyah;setahun lalu;Goanya cukup luas, seneng mbak” yg jaga cafe di dalam ramah bgt????? …;Netral
Udin Samsudin;setahun lalu;sangat ideal bila ada pasangan;Netral
Rifky Yudha Mahendra;setahun lalu;Hidden gem! Dari luar hanya terlihat seperti perkebunan biasa, namun setelah masuk goa tidak menyangka akan seluas dan se bagus itu. Terdapat cafe dan tempat karaoke di dalamnya. Bahkan terdapat penjaga yang dapat mengiringi musik dengan petikan gitarnya;Positif
maria ulfa;setahun lalu;Bagus tapi wahana bermainnya sudah tidak beroperasi lagi;Positif
Agus SMA;setahun lalu;Amazing, salah satu destinasi wisata andalan Sumenep, Madura. Dengan harga tiket masuk yang murah, anda mendapat banyak benefit berupa pemandangan yang indah dan suasana yang nyaman di dalam goa. Ayooooo, jangan lewatkan kalau anda ke Sumenep.;Positif
St. Qurratul Aini;setahun lalu;Tiket masuk per orang 15 ribu, ada kafe di dalam goa, parkir kurang proper.;Netral
abdulhamid 1996;setahun lalu;gua nya bagus sekali;Positif
Khansa hlymi azighah;setahun lalu;Keren dan bagus juga cantik dalam nya indah;Positif
Adhi Agus Oktaviana;setahun lalu;Gua wisata terbaik di Madura..;Netral
Smael Golden;setahun lalu;wo mantap;Netral
Senpai;setahun lalu;Kurang perawatan saja;Netral
Davidson Davidson;setahun lalu;"Bagus dan bersih
Layanan bagus";Positif
luckman hakiem;setahun lalu;Goanya Indah nan eksotik..;Positif
Yan Pick;setahun lalu;Bagus;Positif
Rafiqah Nur Saadah;setahun lalu;Goa cantik;Positif
Abim Habibi;setahun lalu;Hebat dan kere …;Netral
agus efendi;setahun lalu;Penasar …;Netral
Wariatus Solawati;setahun lalu;Aman untuk anak- …;Netral
