user;waktu;ulasan;sentimen
cindy satriyo;2 tahun lalu;Salah satu pantai di Sumenep Madura yang bagus dan bersih. Pantai sembilan ini mirip gili trawangan di lombok. Bisa jadi alternatif kalau kejauhan ke lombok hehehe. Butuh waktu 30-45 menit untuk menyebrang ke pantai sembilan. Tiket sekali …;Positif
Quen Sylvi;3 tahun lalu;"Pantainya bagus. Kelihatannya bening
Tapi waktu renang jadi butek soale isinya lumpur bawah'e.
Penginapannya puanas, dapetnya yg paling pojok. …";Positif
Hambali Bachtiar;3 bulan lalu;Pantai masih bersih walaupun tidak terlalu besar. Akses kesana juga tidak sulit, Ada ojek yang bisa mengantar sampai ke pelabuhan.. Bagi yang gak punya kendaraan, pake bis bisa, lanjut pake ojek. …;Netral
Febri NW;2 tahun lalu;Seperti surga yang tersembunyi, pantai sembilan sungguh bagus dan bersih dengan pemandangan awan yang cerah, laut yang biru dan pasir putih nya. Sungguh memanjakan mata. Untuk kesana anda perlu menyeberang dengan biaya kapal 10rb per orang …;Positif
Faisal Ibrahim;5 bulan lalu;Jauh2 nyebrang pake perahu, pantainya mirip2 lombang, mending lombang aja;Netral
Silviana Triagustian;3 tahun lalu;Pantai dengan pasir putih yang indah dengan cuaca yang cerah, banyak gazebo untuk berteduh dan tersedia penginapan bagi para wisatawan yang berkunjung serta tersedia warung yang menjual makanan dan minuman yang cukup ramah dikantong, dapat ditempuh dengan kapal boat kecil dari pelabuhan tanjung saronggi;Positif
Halim Asyari;2 tahun lalu;Destinasi yg bagus untuk liburan, tempatnya bersih, pantainya bagus, airnya jernih. Jika kesana pakai motor lebih baik dibawa dan membayar uang tambahan saat menyebrangan  dg perahu dan disana kalian bisa keliling pulau giligenting …;Positif
Muhammad Nurul Ikromi;2 tahun lalu;Pantai sembilan merupakan Salah satu wisata yang wajib untuk di kunjungi jika anda pergi ke Sumenep, untuk menuju tempat ini anda harus menyeberang ke pulau gili labak menggunakan perahu yang perjalanannya sekitar 30 menit untuk sampai ke …;Netral
Moh Hamdani;5 tahun lalu;Lumayan enak buat camp..  Bisa bawa tenda sendiri.....  Utk kapal slalu tersedia dr jam 5 sampai sore...  Harga 10rb / orng. Karcis masuk k pantai 9 10rb/orng. Ada tempat nginep...  Ac 500k …;Netral
Ahmad Mujadid;3 tahun lalu;Dapat ditempuh 1 jam dari Pelabuhan Tanjung, Sumenep, Madura. Akses kendaraan  umum menuju Tanjung sangat mudah, baik menggunakan angkot maupun ojek. Harap diperhatikan dan perbanyak bertanya dengan daerah baru. Apabila cuaca cerah Pantai …;Netral
mas Jon;4 tahun lalu;Salah satu destinasi wisata di kabupaten Sumenep yang wajib dikunjungi. Tepatnya berada di Kecamatan/Pulau Gili Genting desa Bringsang kabupaten Sumenep. Untuk sampai kesana, bisa ditempuh dari Pelabuhan Tanjung, Saronggi, Sumenep. …;Netral
fina;11 bulan lalu;perjalanannya menikmati indahnya samudera, di pantainya ombaknya tenang dan bermain banana boats. sangat worth in untuk yang fall in love with samudera?? …;Positif
Agung Budiarjo;setahun lalu;pantainya keren, bersih, cottage nya juga nyaman, makanan oke, suasana pantai vibesnya dapet banget;Positif
Lingga Kurniawan;2 tahun lalu;"pantainya baguuus...
fasilitas lengkap...sudah banyak penginapan..bisa buat ngecamp
harus nyebrang dulu dr Pelabuhan Tanjung Saronggi Kab. Sumenep...sktr 30mnt nyebrang ke pulau.motorpun juga bisa nyampe pulau.";Netral
Must Itjand;setahun lalu;Tempat wisata pantai yg rekomended, view pantai dan pasirnya halus bersih dan warnanya instagramable, cocok untuk wisata keluarga.;Netral
Arin Arin;3 tahun lalu;"Pantai pasir putih dgn air laut biru bersih bikin hilang stress
Dsini cuaca nya panas bgt klo siang,lbih bagus sore sih tp prahu trakhir cm smpai jm 3 sore jd harus inap dn pnginapan dpinggir pntqi gt 500 prmalam klo prahu cm 10rb perorang tp klo udh lebih dr jm 3 gk ad lg pnumpqng harus carter bisa 300 lebih";Positif
wahyu hari;2 bulan lalu;Pantai Pulau Sembilan, membutuhkan waktu kurang lebih 30 m3nit dari Pulau MAdura dari Pelabuhan Tanjung Saronggi, Sumenep. naik kapal dengan biaya 15 rb. Pantai bersih dengan laut yang biru, terdapat toko cemilan, dengan harga terjangkau;Netral
Yaniec Aquarius;4 tahun lalu;Wisata pantai 9 yang berada di pulau gili genting tepatnya di desa bringsang kabupaten sumenep. Pantai  yuang luasnya hanya seberapa tapi cukup memberikan kesan dan kenangan yang manis. Para wisata lokal maupun luar kota cukup merasa puas. …;Netral
Ardust Sirait;4 tahun lalu;Pantai yang sangat indah. Layak untuk dikunjungi bersama pacar sahabat ataupun keluarga. Pasir yang putih dan laut yang biru akan sangat memanjakan mata. Terdapat banyak spot foto dan tempat untuk bersantai di saung. Untuk biaya masuk …;Positif
Anwar D Murwanto;3 tahun lalu;Pantainya asik, masih sepi pengunjung, bisa buat camping dan juga terdapat banyak penginapan juga di sekeliling pesisir pantai. Penduduknya ramah², merawat pantainya juga pagi² nyapuin sampah² di pesisir pantai yg terbawa oleh air laut …;Negatif
Ani Rasyadi;5 tahun lalu;Pantainya lumayan bagus, buat selfi2 keren hasilnya asal kita bisa ambil angle yg pas. tp infrastruktur masih kurang memadai, krn air bersih di toilet kurang memadai jumlahnya, pas ke sana blm tersedia mushola, sehingga harus jalan lumayan agak jauh ke masjid. Kalo ke sini wajib bawa topi n kacamata.... Karena Hot banget;Positif
Maryam Khadeeja;setahun lalu;"Pantainya bagus, lumayan banyak sampah, tolong buang sampah pada tempatnya,
PP nyebrang naik kapal kecil +-30menit siap"" mual bagi yg belum terbiasa,";Positif
Sony 29;4 bulan lalu;Mantap jiwa..keren tempat nyaa;Positif
Rofi'atul Chusna;4 bulan lalu;Pantainya bersih;Netral
Rohmat Hajji;4 tahun lalu;Pantai bersih, fasilitas homestay ber-AC dan non-AC, kamar mandi, toilet, musola, ada beberapa warung dg menu relatif sederhana. Yakni rujak, nasi campur lauk telor atau ayam,  rawon, bisa juga pesan ikan bakar. Sarana permainan di laut yakni banana boat dan snorkeling. Spot untuk foto² mantap recomended.;Netral
Riana Nilasari;4 tahun lalu;KETJEEEE WOY !!! Gilak, maen ke sini tuh tanoa rencana banget. Awalnya iseng doang mau maen ke sumenep. Rejeki anak sholehah emang ga bakal kemana. Tau2 diajakin maen ke pantai keren ini. Lebih takjub lagi, akses kesini mudah dan murah …;Positif
Ahmad Fauzi;3 bulan lalu;Pantai yang terletak di pulau madura, tepatnya di Kab. Sumenep, kecamatan gili Genting ini cukup eksotik. Jika anda berkesempatan untuk wisata ke Madura, maka sebaiknya menyempatkan datang juga ke Pulau yang terdiri dari 4 Desa ini. …;Netral
Brian Adam;5 tahun lalu;Tempat wisata pantai baru dan keren di kabupaten Sumenep. Dilengkapi dengan penginapan. Kalau mau ke pantai ini harus nyeberang terlebih dahulu menggunakan perahu. Bagi yg bawa kendaraan bisa dititipkan di rumah warga sebelum menyeberang. Harga murah dan terjangkau.;Positif
oldest;4 tahun lalu;"Pantai yang recommended untuk siapa pun yang pengen liburan..
Warganya ramah-ramah.. Murah meriah juga.
Ada penginapannya juga.. Tapi kalau mau bawa tenda boleh juga. Fasilitas …";Positif
Amsoriyah;2 tahun lalu;Hi ...Madura...tepatnya di daerah Sumenep yaa...jauuuhh bingit gaes...karena aq dari Jombang, tapi terbayar sudah dengan keindahan dan keelokan pantai ini...hamparan pasir putih yg terbentang luas seakan menyambut kedatangan qta …;Positif
Willy Singgih Chandrasasmita;5 tahun lalu;"Pantai ini bersih sekali ;)
Karena saya tiba disini pagi pagi, saya sempat menyaksikan tukang sapu membersihkan pantai ini. …";Netral
Larassakti Kusuma;5 tahun lalu;jadi ketika kalian sampai sumenep guys, kalian jalan kaki dikit sampe mau ke kapal. kebetulan waktu itu pakai kapal yang muat 20 orangan lebih. tapi jangan dibayangkan kapal yang ada tempat duduknya trus bisa leha2 cantik. jadi aku pake …;Positif
Teguh Sando;5 bulan lalu;Pantainya masih alami.. suejuk.... indahnya matahri terbit..malamnya indah sunyi;Positif
m ramdan;4 tahun lalu;Tempat yg sangat menarik untuk membebaskan diri dari hiruk pikuknya kota, menjanjikan sunrise dan sunset yg sangat indah, pantainya bersih dan airnya pun jernih. …;Positif
Sefri;5 tahun lalu;Beautiful place. Di luar ekspetasi. Kita bisa melihat sunset dan sunrise di pantai ini. Ada banyak penginapan. Sekitar 45-60 menit penyebrangan dari sumenep. Biaya masuk murah, bahkan bisa nyebrangin motor. Wilayah pantai cukup luas. Banyak gubuk buatan dan akomodasi lain, untungnya tidak membuat pantai menjadi jelek.;Positif
Kukuh Hernowo;4 tahun lalu;"Pantai nya bersih
Fasilitas umum dermaga
Toiletnya bersih dan luas,airnya juga bagus ada fasilitas mesin cucunya …";Positif
Iwan Sujarwo;5 tahun lalu;"Pantainya bersih, pemandangan indah apalagi kl cuaca cerah.
Makanan standart..nasi campur, mie instan. Harga terjangkau.
Buat ngopi n ngobrol asyik. …";Positif
KomariyAh Yasmin;4 tahun lalu;Kenangan yg tak terlupakan, pantai yang indah dan mempesona, pantai yng ditempuh sekitar 2 jam dari gili labak dg kendaraan kapal feri, pesan saya kalau mau kembali dari pantai sembilan jangan terlalu sore, ombaknya dahsyat, lebih baik menginap, kembali pagi hari itu sangat aman klau kembali sore hari sangat beresiko.;Positif
Octaveani Tiono;4 tahun lalu;Bersih banget pantainya, airnya masih jernih dan kelihatan banget birunya. Disana juga terdapat cottage untuk bermalam. Waktu itu aku tanya sekitar 500 untuk harga 1 cottage/malam.  Selain di gili genting, gili labak juga punya pesona yg …;Netral
siti ningsih;setahun lalu;Nyebrang dari dermaga 1/2 jam, tempatnya bagus banget, tahun depan kesana lagi, penginapannya semalem ada yg 300rb ada yg 500rb. Kami yang 500rb bisa buat 5 orang;Positif
kustian tian;4 tahun lalu;Pantainya bersih, bagus dan indah. Udaranya segar, benar benar jauh dari polusi. Hanya saja di siang hari terasa sangat panas karena sedikit pohon untuk berteduh.  Akses menuju lokasi menggunakan perahu kayu untuk menyeberang sekitar 60 menit. Juga tersedia penginapan untuk yg ingin bermalam menikmati pemandangan panti di malam hari.;Positif
dian ekawati suryaman;5 tahun lalu;Pantainya sih biasa.. gak terlalu luas..pasirnya putih berbutir agak kasar.  Fasilitasnya yang yahud disini untuk ukuran kabupaten Sumenep.  Spot foto, ATV, penginapan, banana boat, camping ground, toilet umum, dll. Aksesnya dari pelabuhan …;Netral
Yunus;setahun lalu;"Sangat bagus pemandangan
Bisa  nginep di tempat
Smoga kedepannya tambah bagus lagi";Positif
riski setia bhakti;3 bulan lalu;Tempat wisata ini bagus dan masih sepi dan bersih;Positif
Wonder UMMI;2 tahun lalu;"Kerennnnnn
Pantai bersih, sepi, nyaman untuk berlibur, ad homestay 300-500rb per malam.
Biaya sangat terjangkau..";Positif
ardhianto ghani;4 tahun lalu;"pantainya bagus
ada banyak bungalow yg bisa dibuat untuk menginap, 1 bungalow bisa untuk 4-6 orang, harga mulai 300-600k.tergantung fasilitas. …";Positif
Sefrina Tri Handini;5 tahun lalu;"Tampatnya bener bener cantik ??
Udah kayak bali sama lombok, pantainya bersih.. Panteslah buat wisata go internasional hehe …";Positif
Indra Susandi;3 tahun lalu;Kalau hopping island dari Pelabuhan Tanjung biasanya mampir dulu di Pantai Sembilan di Gili Genting dan lanjut Gili Labak. Banyak juga wisnan kesini karna jaraknya cuman 40 mnt perjalanan. Pantainya berpasir putih  dan ombak relatif tenang. …;Netral
Iyog's Channel;2 tahun lalu;Tempat yg bagus buat refreshing, tapi sayang penginapan kurang terawat, lebih pas buat yang suka backpacker-an;Positif
Putri Mayang;setahun lalu;pantainya bersih, sampah pengunjung sebenernya sudah disediakan tempat sampah, tinggal kesadaran masing² wisatawan saja yg datang, penginapan tersedia, berAC, fasilitas umum seperti toilet cukup jika kunjungan wisatawan tidak terlalu …;Negatif
hary setyawan;5 tahun lalu;Pantai ini ditempuh dengan perjalanan laut selama 30 menit dari Tanjung Saronggi. pantai dengan pasir putih dan terdapat spot buat Selfi yang Instagramable. Terdapat tempat penginapan disini jika Anda ingin bermalam dan menikmati suasana pantai yang berbeda di malam hari.;Netral
Dinda Kurniasari;5 tahun lalu;"Pantainya masih sepi ada penginapannya di pulau gili genting
Ombaknya tenang banget
Pasirnya putih …";Netral
Elanna HC;5 tahun lalu;"Good place for relaxing your mind ??
Jika hendak ke pantai sembilan atau yang bisa juga disebut sebagai gili genting ini maka kita harus melakukan penyebarangan dari tanjung dahulu yang kurang …";Netral
Romdhan Feriyadi;4 tahun lalu;Pantai pasir putih nan jernih masih...ada penginapan juga. Klo weekend pasti rame. Pemainan ada banana boat...klo buat liburan murah meriah kesini aja ?? …;Positif
Ikne MR Vedanta;5 tahun lalu;"Gili Labak - Gili Genting.

Berada di sebelah timur pulau Madura. Merupakan dua pulau yang berbeda. …";Netral
YS Channel (Yoto Sugiarto);2 tahun lalu;"Pantai yang indah di Pulau Gili Genting, lumayan ramai pengunjungnya, banyak saung-saung buat tempat duduk dan santai,
ada juga di sini penginapan buat turis penginapannya lumayan bagus ya mepet …";Positif
faiqotul isma dwi utami;5 tahun lalu;Pantai di kota Sumenep memang smuanya kereeen, airnya jernih, pantainya bersih... …;Netral
Mohammad Irvansyah;2 tahun lalu;"Nice scenery for photo spot ??
Fasilitas sudah cukup lengkap.. …";Netral
jelajah sumenep;4 tahun lalu;Tempatnya asyik buat liburan keluarga, atau bersama pacar plus selingkuhan juga bisa.. yg paling keren dari pantai sembilan itu pak kadesnya..;Positif
iM Video;5 tahun lalu;Kalau beruntung ya bakalan seperti keluarga saya, menikmati pantai seakan pantai milik pribadi. Keren banget tempatnya, bersih, air jernih, gak terlalu panas, pasirnya putih bersih, wow banget lah. Apalagi tadi ditemenin sama kepala desanya langsung, wow amazing banget lah.;Positif
JOGLO SEMAR;setahun lalu;"Overall  Bagus..
Kebersihan masih harus diperhatikan lagi..
Fasilitas butuh perhatian lagi.. …";Positif
Salahuddin Al Ayyubi;2 tahun lalu;"Pantai sembilan merupakan salah satu dari 2 pantai yang ada di pulau ini, biaya masuk dan menginap disini termasuk terjangkau bagi kantong mahasiswa
Agar dapat mencapai lokasi ini, temen² perlu menuju ke pelabuhan Bluto Sumenep, …";Netral
habib wahyudi;5 tahun lalu;Pulau gili genting pantai sembilan. Pilihan yang tepat untuk menenangkan fikiran sejenak. Sangat2 privat dan sudah terdapat fasilitas yang cukup memadai bangettt. Dan ramah dikantong tentunya;Netral
Andi “Om Ganteng” Witoyo;9 bulan lalu;Harga penginapan terjangkau tiket menyebrang naik kapal 15.000.......warung buka 24 jam;Netral
teguh wicaksono;4 tahun lalu;"pantainya bagus,cocok buat berenang,santai,foto2
penginapan juga tersedia dari harga 300rb,500rb,dan 1jt
perjalanan stngh jam dari pelabuhan saronggi";Positif
Niarti ghazali;3 tahun lalu;"Orangnya ramah2
Makanan standart tidak terlalu mahal jadi tidak perlu khawatir soal makanan jajanan banyak yg jual disana ketika liburan pun buka hingga 24jam. …";Positif
RUDI KA;2 tahun lalu;Pulau ditengah laut madura dengan pemandangan indah suasana tenang serta terdapat sebuah penginapan sehingga kita bisa berlibur sehari semalam di pinggir pantai.;Positif
Yoel Dwi Putra Gultom;4 tahun lalu;Bersih. Desain unik. Namun sangat panas. Foto foto di siang hari merupakan hal yang diincar para turis. Lebih baik bawa sunblock. Jajajan disana juga tidak dijual dengan harga mahal. Pemandangan eksotis berupa banyak kapal yang sedang …;Negatif
fadel abu aufa;5 tahun lalu;Sunrisenya oke banget, ayo liburan di pantai sembilan bareng madura vacation tour & travel, di pantai sembilan sudah tersedia 22 cottage dengan tarif 750 ribu permalam satu cottage;Netral
Lucy M;5 tahun lalu;Tempatnya bagus, dengan tiket masuk yg lumayan tdak menguras kantong, karena akan merasa puas dengan pemandangan yg disuguhkan dan potret untuk take a picture;Positif
Litta Helmi;3 bulan lalu;Jauh2 dari kota Kediri datang ke pantai sembilan,puas banget.pantainya bersih,airnya biru jernih.;Netral
Mas Devan;5 tahun lalu;Pantai sembilan sumrnep madura, adalah tempat wisata yg menyajikan pemandangan dg panorama yg eksotis, keindahan pantai yg cantik juga pasir butihnya yg bersih, disini juga menyediakan wahana bermain seperti banana boat ayunan perahu dayung …;Positif
Ratihindah Sari;5 tahun lalu;Sgt sgt suka dgn pantai nya, ini perjalanan trvlng kami dgn modal hny 150 rb sj tetapi tdk trmsk biaya mkn, selama 3 hari mengelilingi sumenep dn sktr x;Netral
Tuan Kuda;5 tahun lalu;Pantai ancol versi kecil haha, perjalanan cukup seru, cukup bayar 10ribu idah bisa nyebrang ke pulau genting, lalu untuk masuk ke pantai sembilan cukup bayar 10ribu lagi. Kalau mau ganti/bilas cukup siapkan uang 5ribu. …;Netral
Sur Yadi;setahun lalu;Pantainya msh sama cuma takingnya sdh mulai kurang baik mungkin buat para pengelola bisa segera dperbaeki;Netral
Getardzikrullah _;5 tahun lalu;Pantainya sangat bagus, sangat cocok berlibur bersama keluarga ataupun sahabat anda. Disini juga menyediakan penginapan 300k/24jam yang isinya bisa 6-8 orang bro, mantap banget viewnya juga;Positif
Ulfatul Hasanah;setahun lalu;Pemandangan nya MasyaAllah bagus banget. Surga dunia ??;Positif
Lutfi Arifin;11 bulan lalu;Pantainya bagus, ada tempat penginapan. Semoga suatu saat bisa berkunjung kembali;Positif
Abdul Aziz;4 bulan lalu;Surga tersembunyi di ujung pulau madura;Netral
Dullatëp;3 tahun lalu;Bagus, indah dengan pengelolaan yang cukup baik. Ada penginapan dengan pendingin ruangan, cocok untuk liburan keluarga atau kantor. Masyarakat nya juga ramah.;Positif
Venus;7 bulan lalu;Pantai pasir putih yg indah, penyebrangan dg kapal hanya sebentar. Untuk teman2 yg berkunjung ikut jaga kebersihan pantai ya buang sampah pd tempat yg sdh disediakan ...;Positif
Halilintar Putra;4 bulan lalu;Alam yg indah dan masih asri.;Positif
Diyan Nadira;setahun lalu;Dari Kabupaten pamekasan ke ka Kabupaten  sumenep pengen mengunjungi pantai sembilan hasilnya  mengecewakan. Berangkatnya 40ribu pulang nya 40 ribu. Karcis pantai 30 ribu. Janjian  gak bakalan  kesini lagi;Netral
Reyhan Cikal;4 tahun lalu;Pantai nya bagus, cuaca yang sangat panas. Jarang angin yang berhembus. Ketika mencoba menyelam untuk melihat dasar laut perairan dekat bibir pantai. Sungguh mengecewakan karena banyak sekali sampah. Terutama sampah plastik. Mohon untuk …;Positif
Dewi Masyitoh;4 tahun lalu;Tempat yang cukup bagus. Sangat rapi sebagai tempat wisata.. fasilitas memadai. Sayang, krn penggunaan plastik masih cukup tinggi di kawasan ini, cukup berbahaya untuk kesehatan lingkungan di masa mendatang. Seperti es degan yg harus di …;Positif
muhamad iskandar;4 tahun lalu;"Tempat yg sangat luar biasa indah, pantai yg bersih dngan air laut yg jernih.
Cocok untuk yg pengen berlibur sambil menenangkan diri karena wisatawan yg tidak terlalu banyak tiap hari nya.";Positif
Rangga Branco;4 tahun lalu;Gili Genting, Pantai sembilan memang istimewa untuk liburan . Tiket masuknya cuma 10ribu rupiah saja;Netral
Nadyah Triasakti;setahun lalu;"Penyebrangan PP 20K
Tiket masuk 15K
Penginapan mulai harga 300, 500, 750 full ac";Netral
Ilham Sandri Koto;setahun lalu;Cukup bagus dan terawat, hanya sedikit kurang bersih saja pasirnya karena ada beberapa sampah;Positif
Muhammad Prasetyo;5 tahun lalu;Salah satu objek wisata di Madura (Sumenep). Hamparan pasir putih di pantai ini memiliki keunikan tersendiri. Jika dilihat dari atas, garis pantai ini memiliki bentuk seperti angka sembilan dengan laguna air di tengahnya. Maka itu destinasi …;Netral
Fikar Ale;2 tahun lalu;Tempatnya bagus, apalagi kalo lagi surut. Air bersihnya juga ada dan banyak. Ombaknya ga terlalu besar, tapi sayang banyak ranting-ranting daun-daunan yang bikin kurang enak dilihat. Sampah plastiknya sedikit kok;Positif
Fay Fay;5 tahun lalu;Its a beautifull beach ... it can be next destination after bali island. Airnya jernih spt kolam renang dg air yg tenang tanpa ombak jd aman utk anak2 berenang. Awesome;Netral
Ida Alifitriyah;3 tahun lalu;Tempat yg sangat nyaman dan hangat untuk bermalam. recomended banget untuk kalian melepas penat. view pantai sangat bagus, suasana malamnya sangat nyaman, fsilitas penginapan oke banget. plus, keramahan dari pak kades dan warga sekitar …;Positif
Maulana Ibrahim;2 tahun lalu;Masyaallah, banyak kepitingnya sama cumi-cumi. Jangan lupa, jika berkunjung kesini bawa pancing dan umpan udang2an. Serta jaring ikan.;Netral
siminchu aja;setahun lalu;kalau malam begitu eksotis... jadi pengin balik ke sini lagi ...;Netral
Kiya;5 tahun lalu;Pantai bersih, banyak spot foto bagus, sudah disediakan penginapan juga di kawasan pantai, banyak tempat untuk membeli makanan.;Positif
Aini Candiii;4 tahun lalu;"pantai nya bersih, bagus, nyaman sekali,..
tempat sampah nya kurang jadi bnyak wisatawan yang buang sampah di laut, tempat oleh²/ souvenir masi minim banget, jadi susah kalu mau cari oleh²/kenang²an dari pantai sembilan";Positif
Isti Qomah;5 tahun lalu;Pantainya sangat indah terlebih saat sunset dan sunrise tapi lumayan panas jadi jangan lupa bawa sunscreen kalau tidak mau hitam;Positif
diar azmi arsyad zulkarnain;5 tahun lalu;Tempatnya indah banget. Memang top dan layak banget buat berlibur menghilangkan stres sma keluarga maupun sama pacar;Positif
Amanda Karunia;5 tahun lalu;"Butuh sekitar 5 jam perjalanan darat (malam hari) dari Surabaya (Terminal Bungurasih) menuju ke Sampang, Madura...
Setelah itu, naik perahu selama setengah jam untuk sampai di Pantai Sembilan... …";Netral
eka hayati;4 tahun lalu;Menuju pantai sembilan masih butuh waktu penyebrangan sekitar 20-30menit menggunakan perahu, tiket masuknya cukup terjangkau. Pantainya bersih dan terawat. Disediakan beberapa penginapan seperti loji. Namun meskipu  berada di kawasan …;Netral
waskita adiguna;setahun lalu;Pantainya ok buat liburan, airnya aman buat berenang,;Netral
Yoga Jalasena;setahun lalu;"Tempatnya bersih, pagi dan sore selalu ada mobil utk angkut sampah.
Ombak nya sangat tenang.
Harga terjangkau.";Positif
Wahyu Robiansyah;5 tahun lalu;"Lingkungan pantai yang bersih. Tidak ada sampah yang berserakan.
Bagus untuk berfoto, ada banana boat & ATV";Positif
Yulia Panca Sucahyono;2 tahun lalu;Pantainya apik masih bersih cocok utk poto2 instagramable, ada tempat menginapnya juga, pokok e siippppp???????? …;Netral
Paramita Candra Devi;4 tahun lalu;Murmer semuanya?? mulai dr banana boat, makanan,minuman, penginapan. tapi sayangnya belum ada oleh² yang khas dari pantai sembilan. …;Netral
