user;waktu;sentimen;lokasi;ulasan
metom sh;8 bulan lalu;Positif;Bukit Jaddhih;"Goa pote, bangkalan
Msh di sebelahnya dg bukit jaddih juga.
Mungkin artinya goa putih, krn bekas galian gn kapur, jd pasti putih. "
Taufik Hidayah;2 minggu lalu;Positif;Bukit Jaddhih;Tempatnya bagus, sayang pas kesana pas musim kemarau jadi jalanan berdebu karena galian tambang kapur
Sebastian Rama;3 bulan lalu;Positif;Bukit Jaddhih;viewnya bagus, bekas area tambang jadi spot foto2
Berkah Abadi Satoto;8 bulan lalu;Positif;Bukit Jaddhih;"Bekas tambang kapur di banhkalan madura. Sangat aesthetic utk lokasi foto dan video. Tiket masuk murah hanya 5rb per orang.
Ada tour guide, anak muda sekitar .. mereka jg jago take foto dan video. …"
NABNAD TWINS;sebulan lalu;Positif;Bukit Jaddhih;Wisata gunung kapur yg indah...kalau musim kemarau panas banget
Juniar Fadhilah;5 bulan lalu;Positif;Bukit Jaddhih;Bagus buat foto² rekomendasi kesini pagi atau sore sekalian, tutup jam 17.30
Agus Suryono;2 minggu lalu;Negatif;Bukit Jaddhih;jalan masuk sekitar 300 m sangat bergelombang, air didanau kering pada saat musim kemarau
Hasby Asshiddiqi;10 bulan lalu;Positif;Bukit Jaddhih;Bukit jeddih ini bukit kapur yang penambangannya masih aktif. Namun ada sisi yang sudah tidak beroperasi dan dijadikan wisata. Untuk view yang ditawarkan menarik. Untuk fasilitas ada warung makan, toilet (kurang tau keadaannya). Akses …
Sri Wahyuni;setahun lalu;Positif;Bukit Jaddhih;"Jalan masuk bisa dibilang parah bgt,
Karcis masuk bayar 2X, pertama 10k, kedua 5k per org,
Tp view nya indah menurut saya, masih terlihat alami, …"
Fasha;5 bulan lalu;Positif;Bukit Jaddhih;kesini H+2 hari raya Idul fitri 2023 jalan agak rusak tapi senang aja suasananya unik dan ramai suara petasan, knalpot anak2 motor khas jaddih bangkalan madura.
Mayaria Desi;9 bulan lalu;Positif;Bukit Jaddhih;tempat wisata ramah dikantong, hanya saja akses nya kurang nyaman, semoga mendapat perhatian & prioritas dr pemda setempat untuk akses menuju ke tmp wisata dan kedepannya makin tertata..???????? …
Santo Ali;setahun lalu;Positif;Bukit Jaddhih;Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …
Emma erliana;setahun lalu;Positif;Bukit Jaddhih;Bagus epik tempat nya hanya saja jalanan agak berkerikil bukan aspal (gak mulus lah) itu saja kendalanya...semoga saja dari pemerintah setempat bisa memperbaiki jalanan di sekitar wisata bukit Jaddih ke depannya ,
Arif Rahmat Santoso;5 bulan lalu;Positif;Bukit Jaddhih;Cukup luas dan ada pemandu nya klo masuk.
Lely Kusuma;sebulan lalu;Negatif;Bukit Jaddhih;"Punya pengalaman yg ga mengenakan disini..
Yg pertama emg bnyak pungli..yg kedua pas ke kamar mandi didekat warung dikasih tau sm pemilik jangan lewat jalur utama bnyk begal disuruh lewat jln 1nya..eh …"
Anik Lutfiyah;2 tahun lalu;Negatif;Bukit Jaddhih;Masuk gang pertama kali bayar seikhlasnya gitu ke warga. Lalu mau masuk areanya bayar lagi 20rb untuk mobil. Pas sudah di areanya yang luas, itu nanti kita bisa milih di area tertentu yang (sepertinya) dimiliki oleh beda-beda orang. Kalau …
Muhammad Alvaro;setahun lalu;Positif;Bukit Jaddhih;"Tiket masuk roda 4 Rp20.000
Tiket pertandingan orangnya 5rb
Sudah waktunya untuk direnovasi.. Penampilan diperbaharui.."
Tanto Doank;4 tahun lalu;neb;Bukit Jaddhih;"Merupakan daerah tambang batu kapur yang juga dimanfaatkan sebagai obyek wisata.
Pengelolaan oleh pemerintah masih sangat minim, akses jalannya sulit dan banyak …"
Theeya Tea;setahun lalu;Positif;Bukit Jaddhih;"Pemandangannya cukup instgramable.. bagus buat foto foto, hanya jalan akses kurang mulus, biaya parkir 20 rb.. bayar biaya masuk 5000 per orang..
Tempatnya belum dikelola secara profesional masih dikelola penduduk setempat. Tempatny agak kurang terawat .tp kalo dikelola lebih baik lagi bisa jadi hidden gemsnya di madura"
Mr EdiP;setahun lalu;Negatif;Bukit Jaddhih;"Banyak yang bilang banyak pungli, mungkin iya,
Masuk kita di minta parkir 20.000 untuk mobil,
Kemudian di jalan kita di cegat dan di arahkan masuk ke gua masuk bayar lagi …"
Wahyu Cungkring Channel;5 tahun lalu;Positif;Bukit Jaddhih;Bukit Jaddih adalah tempat yang cocok buat yang pingin ngetrip tipis, di Bukit Jaddih anda akan disuguhi pemandangan bukit kapur dan panorama alam yang sangat bagus buat para foto grafer dan mungkin yang ingin prewed. …
Ilham Rizqi07;4 tahun lalu;Positif;Bukit Jaddhih;Ini adalah salah satu wisata terutama untuk yg suka foto2, di area madura. Tp tempat ini jd tidak terlalu jauh dari surabaya, so bagi kalian arek suroboyo, mampir rene cuk. …
Ubinkayu;6 bulan lalu;Positif;Bukit Jaddhih;Sepi dan kurang perawatan setelah covid.  Wisata murah fan menarik
siti zaenab;seminggu lalu;Negatif;Bukit Jaddhih;Sayang pas kesini Air kolamnya  gak ada
Firman S Hermawan;2 tahun lalu;Negatif;Bukit Jaddhih;Bukit Jaddih sejatinya adalah tambang kapur. Uniknya, saat ini pertambangan masih berlangsung, sehingga ada alat berat dan truk yang berlalu-lalang mengangkut batu kapur. …
Amelia Okta;4 tahun lalu;Positif;Bukit Jaddhih;Situs penambangan kapur yang sangat luas, dan tampaklah bukit kapur yang indah. Kalau ke madura coba mampir, sekalian ke bebek sinjay. Areanya sangat luas, pas cuaca cerah hasil foto juga sangat instagramable bgt. Masuk cm bayar parkir. Di dalamnya ada kolam renang dan danau tapi dikenakan tiket tambahan.
David Yohanes;3 tahun lalu;Positif;Bukit Jaddhih;Tempat wisata bukit jaddhih ini menjadi primadona di madura, tak kalah bagusnya dengan pantai yang ada di madura...tempat ini merupakan tempat wisata dengan bukit kapur, sehingga akan sangat kotor jika kita kesini..tapi itu semua terbayar …
Deo Prasetyo;setahun lalu;Positif;Bukit Jaddhih;Pamandangannya bukit bekas hasil tambang kapur cakep banget (instagramable)..cm sayang aksesnya kesana harus melewati jalanan rusak (jadi akses kluar masuk truk tambang juga). Saya naik mobil dikenakan karcis 20ribu di akses masuk …
Kusuma Wati;setahun lalu;Positif;Bukit Jaddhih;"Bagus buat foto2.. sayangnya jalan menuju TKP masih kurang bagus. Juga fasum agar ditingkatnya shg pengunjung nyaman..
Semoga kedepan makin tertata..???????? …"
tokocoklat mgc;4 tahun lalu;Positif;Bukit Jaddhih;"Saya ke sini juni 2019

Bukit jaddih ini adalah penambangan kapur yang dijadikan lokasi wisata.. …"
Gysaila Shaqila;2 tahun lalu;Positif;Bukit Jaddhih;Parkiran cukup luas, mushola & kamar mandi cukup jauh hanya terletak di jalan masuk sebelum lokasi. Ada perahu getek juga. Terdapat banyak warung kopi. Hanya saja banyak pungli. Kurang lebih 3X harus bayar 'tiket' yang tidak jelas
Winda Bimorejo;2 bulan lalu;Positif;Bukit Jaddhih;"Kurang bagus terutama di bagian tiket...
Terlalu banyak minta uang atau tidak resmi.
Uang masuk 30rbu katanya sudah free sampai tempat. …"
Bayu Prasongko;5 tahun lalu;Negatif;Bukit Jaddhih;wisata yg masih tergolong mahal, dengan pemandangan & suasana seperti itu : panas, gersang,  fasilitas minim, kotor & banyak pungli.  untuk menuju lokasi ini saja harus berhati2 dgn jalan sempit & berlubang, polisi tidur dimana2, pengendara …
Adi Irawan;3 bulan lalu;Positif;Bukit Jaddhih;Tempat yg indah, ada guide yg ramah membantu kita?? …
vina krisna lestari;setahun lalu;Positif;Bukit Jaddhih;Tempatnya menurut saya biasa aja utk viewnya tapi kalau bisa pakai jasa guide aja utk dapat foto-foto bagus viewnya malah jadi terlihat keren tempatnya ??,, …
Vrila;4 tahun lalu;Positif;Bukit Jaddhih;Sebenarnya ini penambangan batu yg masih aktif, Tp lumayan bagus..ada danau kecil yg dilengkapi dg persewaan gethek bambu..sayang unt biaya tiket nya termasuk mahal. Unt mobil kena 20rb.belum ketika kita masuk ke bukit ada lagi..trus …
RnT;5 tahun lalu;Negatif;Bukit Jaddhih;Ada 3 spot wisata yang bisa kita kunjungi. Ada kolam renang, Danau Biru, atau naik ke Bukit. Kalau mau ke Bukit Harus lebih hati-hati karena melewati jalan kendaraan penambangan batu kapur. Jalannya menanjak dan tidak rata. Sampai di atas …
Ichsan Nur Rizky;setahun lalu;Positif;Bukit Jaddhih;Pemandangannya bagus tetapi untuk kebersihan masih banyak sampah dimana-mana mungkin harus ditambah fasilitas tempat sampah
iben darmawan;4 tahun lalu;Negatif;Bukit Jaddhih;Menuju Bukit Jeddih dari pintu keluar Jembatan Suramadu lurus saja, di pertigaan besar pertama belok kiri, ikuti jalan kecil aspal, hati hati bila terjadi simpangan dengan mobil, harus mengalah. Pintu masuknya tersamar, tidak ada petunjuk …
Lila R. Sukendy;3 tahun lalu;Negatif;Bukit Jaddhih;Cuacanya panas, saya sarankan untuk kesini pagi-pagi agar tidak terlalu panas. Hati-hati dengan pungli. Sepanjang perjalanan ada beberapa point dimana kita akan diminta pungli atas nama kas desa, sumbangan desa dan sebagainya. Waktu itu …
Ririen Wisma;4 tahun lalu;Positif;Bukit Jaddhih;Sebuah bukit kapur yang kapurnya bisa dibuat untuk bangunan rumah.  Karena perpaduan kapur dengan genangan air sehingga membuat air di sekitarnya berwarna hijau. Ada sebuah gua namanya Goa Pote. Bagus viewnya. Tetapi untuk parkirnya mahal, 50 rb untuk bus kapasitas 30 orang.
Rudianto;4 tahun lalu;Positif;Bukit Jaddhih;Menurut saya, Bukit Jaddih adalah tempat wisata yang benar-benar luar biasa spektakuler dan kedepan sepertinya akan terus bertambah spektakuler. …
Andi Surya Putra;setahun lalu;Positif;Bukit Jaddhih;"Kunjungan yang kesekian kalinya bersama keluarga besar, tempat tambang dan suasana bukit kapur putih tertata bekas tambang.
Goa poteh yg artistik dari hasil potongan penambang. Menghasilkan lubang goa yg menarik."
Channel Inspirasi Bersama;3 tahun lalu;Positif;Bukit Jaddhih;"kesana lewat jalur suramadu
cukup mudah diakses dengan google map
karena di sepanjang jalan masih jarang ada petunjuk jalan ke tempat ini …"
dwi hendriono;setahun lalu;Positif;Bukit Jaddhih;Perjalanan sangat menyenangkan. Kanan kiri persawahan yg sejuk. Jalan lumayan halus, dan agak sepi walau agak sempit. Setiba di bukit kapur, cuacanya sangat panas. Maklum pulau Madura terkenal akan panasnya. Namun terobati dengan …
Yulia Fithri;10 bulan lalu;Positif;Bukit Jaddhih;Kesini sudah 3 kali dengan rombongan teman dan keluarga. Tempatnya luas banget, cuma agak panas ya
Hany Hany;4 tahun lalu;Positif;Bukit Jaddhih;Wisata bukit Jaddih lumayan juga buat rekreasi keluarga. Masuk pertama bayar 5rb trus parkir masuk pertama bayar 25rb trus parkir kedua bayar 20rb. Ini yg parkir ke goa pote. Setelah dapet parkiran baru jalan menuju wisata. Pilihan bisa …
L4W SHARE;setahun lalu;Negatif;Bukit Jaddhih;Sangat disayangkan potensi wisata madura yang seharusnya bisa menjadi ikon wisata bangkalan tetapi masih banyak pungli dan keamanan menuju lokasi membuat wisatawan berpikir 2x untuk berkunjung kesini. Saya sebagai warga Bangkalan juga cukup …
Kang Mushop;4 bulan lalu;Positif;Bukit Jaddhih;Takjub dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …
Lesia Issaura Eunike;5 tahun lalu;Positif;Bukit Jaddhih;Tempaynya sangat panas.. Ini adalah semacam tebing kapur yang masih d kelolah secara tradisional oleh penduduk sekitar.. Saat maret 2018 saya ke sana pekerja juga sedang membuat kamar2 yg nantinya akan d sewakan untuk pengunjung. Kamar …
Rachmad Gesah;5 tahun lalu;Negatif;Bukit Jaddhih;"Masih belum terkelola dengan baik... Mungkin karena obyek wisata masih baru...
Lagian masih banyak truk proyek yang bersliweran.... Dan masih ada pengerjaan proyek penggalian untuk batu bata putih. …"
Xaveria;setahun lalu;Negatif;Bukit Jaddhih;Sangat oke tempatnya igable banget! Cuman jalanan kesini rada jelek, dan mayan lah dari kluaran suramadu. Worth it tapii ???? …
Adhy Prasetiya;3 tahun lalu;Positif;Bukit Jaddhih;Bukit Jaddih merupakan lokasi penambangan kapur yang hingga saat ini masih aktif. Melihat polanya, kemungkinan tambang ini dahulu dikerjakan secara manual sebelum akhirnya menggunakan alat berat seperti saat ini. Pada lokasi yang sudah …
Naftali Novita;4 tahun lalu;Positif;Bukit Jaddhih;Salah satu tempat wisata baru di madura.bukit kapur yang indah untuk dikunjungi. Tapi lebih baik berkunjung saat pagi hari atau sore hari agar tidak terlalu panas .di siang hari tempat ini sangat panas dan pemandangan cukup menyilaukan …
fathcul jannah;setahun lalu;Positif;Bukit Jaddhih;"Mmh karena ini penambangan, jadi tiap tahun seakan berubah ubah.
Kalau buat poto cocok pas panas terik. Tapi kalau untuk santai, cocoknya pas teduh pagi atau sorean. …"
Nyta Narda Wijaya;2 tahun lalu;Positif;Bukit Jaddhih;Tempat yang Lumayan Bagus , Sepi banget waktu kesini , cocok buat liburan rame rame bareng ,panas banget tapi kebantu angin yang lumayan kencang , 2x tarif di pintu awal dan pintu akhir , tempat bersih , full kapur dari ujung ke ujung , …
Wahyu Widiyantoro;4 tahun lalu;Positif;Bukit Jaddhih;Tempat yg megah dan mengagumkan. Kalau siang akan silau sekali dan berangin. Disarankan pakai kacamata. Terdapat warung minum dan toilet. Tempat parkir tersedia. Loket masuk area Goa Pote per orang Rp 5.000,- (retribusi mobil dan parkir tdk …
Vina Navika Yudha;9 bulan lalu;Negatif;Bukit Jaddhih;Pas ga keliatan putih karena musim hujan.Jalan masuknya ancur.bayar 3x ?? …
Aisya Qurratul;4 tahun lalu;Positif;Bukit Jaddhih;Lokasi cukup mudah dijangkau. Tiket masuk murah. Terdapat kolam renang untuk anak-anak. Dan ada rakit kecil untuk berkeliling danau. Banyak penjual minuman dan makanan ringan disana. Toilet kurang bersih. Untuk mendapatkan hasil fto yang bagus lebih baik datang pagi agar matahari tidak terlalu panas.
Dwiky Patria;2 tahun lalu;Negatif;Bukit Jaddhih;Baru aja nyobain lagi datang kesini setelah beberapa tahun engga ke bukit jaddih.. entah karena lagi pandemi, yang datang kesini jauh lebih sedikit daripada dulu.. malah tadi saja sendiri saja yang datang.. di pintu masuk, ada retribusi …
Alvito Chandra;5 tahun lalu;Positif;Bukit Jaddhih;Wisata Bukit Jaddih bangkalan merupakan tempat wisata yang harus anda kunjungi karena pesona keindahannya tidak ada duanya. Penduduk lokal daerah Bangkalan juga sangat ramah tamah terhadap wisatawan lokal maupun wisatawan asing. Kota …
TITO AKDUA MUSIC OFFICIAL (KENDANG CILIK SKIL MASTER);setahun lalu;Positif;Bukit Jaddhih;"15menitan setelah keluar dari suramadu. Akses jln masih sempit lewat perkampungan.
Pemandangan sangat bagus bwt yg hobby foto"" sayang blm dikelola dgn baik,, akses …"
Tentang Madura92;5 tahun lalu;Positif;Bukit Jaddhih;Bukit jaddih merupakan tempat wisata yang tergolong baru dan hits banget dikalangan traveler lokal maupun internasional. Tempat ini meyuguhkan pemandangan yang indah yaitu area bukit kapur yangvputih sehingga terkesan ada di area salju. …
Gabriella Deska Anggasih;5 tahun lalu;Positif;Bukit Jaddhih;"Bukit Jaddih di Madura.
Di Kabupaten Bangkalan Madura.
Objek wisata di Madura yang lumayan deket kalo dr Surabaya lewat jembatan …"
annisa lathief;setahun lalu;Positif;Bukit Jaddhih;Wisata Bekas Tambang kapur yang menarik dan eksotis, hanya saja untuk anak2 butuh pengawasan optimal dan lebih berhati2,, tempat parkir luas
silvi andri;4 tahun lalu;Positif;Bukit Jaddhih;Kesalahan saya saat berkunjung adalah tidak membawa masker dan kaca mata. Penambangan perbukitan kapur yang terus berlangsung menyisakan bentuk tak beraturan yang indah dipandang, panasnya mentari yang menyengat semakin meningkatkan daya …
Rizky Amalia Maghfiroh;4 tahun lalu;Positif;Bukit Jaddhih;"terdapat banyak spot foto yg bagus
tarif naik rakit 5k/org dan 1 rakit bisa diisi 8-9 org. jalan menuju bukit gampang ditemukan tapi untuk mobil jalan tsb kecil, tp masih bisa minggir klo gantian …"
cahyana 104;11 bulan lalu;Negatif;Bukit Jaddhih;Masih perlu perhatian dr pemerintah setempat.akses jln menuju lokasi msh bergelombang.meskipun panas tp asyik buat berfoto2 ria.
N3Y;3 tahun lalu;Positif;Bukit Jaddhih;Awalnya saya penasaran sampai akhirnya datanglah ke Bukit kapur yang letaknya ada di pusat kota Bangkalan ini. Ingin melihat langaung dan membuktikan sendiri keindahan bukit kapur yang diberi nama bukit Jaddih ini. Ga hanya lewat foto-foto …
Uswatun Hasanah;setahun lalu;Negatif;Bukit Jaddhih;Kunjungan tanggal 21 November 2021. Info tiket untuk pengendara sepeda motor dikenakan tarif Rp10.000,- per sepeda motor. Tiket masuk beda lagi, tiket masuk Rp5.000,- per orang. Saya sempat tanya ke pihak yang meminta tiket masuk, katanya …
Firemoondhana Kresna;4 tahun lalu;Positif;Bukit Jaddhih;Tempatnya tersembunyi sekali dan untuk akses jalan kurang memadai. bahkan ada beberapa jalan hanya muat untuk 1 mobil saja jadi apabila papasan salah satu mobil harus mundur. all over tempat wisata ini cukup menarik saja untuk di kunjungi. …
Azaukamaiqi Right;5 tahun lalu;Negatif;Bukit Jaddhih;hati2 pungli di area wisata.. biaya masuk hanya 1x, berbeda dgn biaya utk berenang. siap sedia kacamata dan masker krna debu kapur banyak berterbangan, terutama saat panas
Hilwani Sari;2 tahun lalu;Positif;Bukit Jaddhih;"Actually B aja :')
Tapi kalo serius dirawat pasti keren banget sih
Misalnya tiap kali lumut keluar, dibersihin biar kembali putih bersih
Trus airnya juga, dijaga dari sampah biar lebih jernih"
Ferensya Feren;setahun lalu;Negatif;Bukit Jaddhih;Masih ada pungli di beberapa lokasi. Pas masuk ditarik 10rb/motor. Mau masuk ke danau ditarik lagi 5rb/org
Annisa Priyandita;setahun lalu;Negatif;Bukit Jaddhih;Untuk pemandangan bukit kapur dan kita bisa masuk ke dalam goa termasuk experince lain yg patut dicoba, tp syg akses kesini jalannya lumayan jelek
Lutfi Muhammad;4 tahun lalu;Positif;Bukit Jaddhih;Ini bukit kapur yang terletak di Pulau madura. Banyak spot fotonya. Kalau kesini, sempatkan naik ke puncak bukit tertingginya untuk melihat sunset. Indah dan keren banget pemandangannya. Area parkir dimana-mana. Ada musholla di area danaunya. Tapi banyak punglinya waktu saya kesini dulu.
vita christianty;4 tahun lalu;Positif;Bukit Jaddhih;Bukt kapur di bangkalan, Madura. Tempatnya bagus, tapi sangat panas. Fasilitas belum memadai, masih kurang. Pungutan tidak cuma sekali. Masuk kendaraan 10 rb, setelah itu ada tarikan lagi 5 rb per orang. Harus lebih dibenahi kedepan. Untuk toilet, tempat istirahat, dan lain-lain.
sebastian;setahun lalu;Positif;Bukit Jaddhih;Hidden gems.. tempat penambangan batu kapur, masih aktif saat ini.. lokasi dapat dijangkau mobil, beberapa spot sudah dibentuk untuk wisata.. punya potensi baik
RcnVx 12;setahun lalu;Positif;Bukit Jaddhih;"Dekat dr Suramadu

Masuk bayar Mobil 20rb, Orang 5rb
Naik ke atas bukit bs pk ojek"
Malik Khoiruddin;setahun lalu;Positif;Bukit Jaddhih;Makin bagus dengan adanya air kolam yg beberapa waktu lalu kering, sekarang perahunya sudah bisa operasi, ada kuda joget juga...sayangnya banyak lumut didinding jago gak begitu tampak putihnya...
Diva Sasmita Widitama;4 tahun lalu;Positif;Bukit Jaddhih;"Tempatnya kalo hari biasa sepi , tp kalo idealnya diatas jam 12 soalnya matahari sudah di barat jadi tidak terlalu panas
Tiket masuk mobil 20rb dan motor 10rb
Untuk ke goa pote ditambah lagi per orang 5rb"
Badri Ihya';setahun lalu;Positif;Bukit Jaddhih;"KEREN DAN SANGAT MEMANJAKAN MATA.
Saran jam kunjung pagi atau sore ya gaiss.
Jangan lupa tanya warga lokal walapun kita sudah pake maps. Karena jalurnya …"
Muhammad Nur Salam;4 tahun lalu;Positif;Bukit Jaddhih;Kawasan bukit bekas penambangan batu kapur ini sangat berpotensi untuk dijadikan wisata tentunya dengan penataan yang lebih baik dari pengelola. Bukit batu kapur dengan liang berbentuk seperti tempat tinggal pada masa jaman batu. Fasilitasnya cukup baik ada toko suvenir, kantin, dan toilet
venny hendarni;4 tahun lalu;Positif;Bukit Jaddhih;Instragram bgt...cocok buat yg suka foto2, mobil bisa masuk kearah bukit2 kapur, tiket masuknya 20 rb untuk 2 orang plus mobil, kalo mau ke danau dikenakan tiket lg per orang 5 rb
Adi Suryawan;4 tahun lalu;Negatif;Bukit Jaddhih;Baru pertama kali tempatnya cukup jauh dari Kota Surabaya, berhati-hati dengan map google titik lokasinya salah, makanya kemarin tanya ke orang desa atau kampung bicaranya tidak begitu jelas, tempatnya tidak memiliki tanda papan nama …
Dodik Maryanto;5 tahun lalu;Positif;Bukit Jaddhih;"Tempatnya panas akibat terik matahari, disarankan untuk membawa payung.
Jalan untuk masuknya masih terjal, disarankan membawa kendaraan minimal MPV atau SUV dan sangar tidak disarankan membawa sedan/citycar. …"
Olievia P Mulyana;5 tahun lalu;Positif;Bukit Jaddhih;Bukit kapur yang dibuka untuk wisata karena itu perlu berhati-hati karena penambangan kapurnya masih aktif. Pakai masker dan datang pada pagi hari adalah pilihan terbaik. Danaunya bagus dan pemandangan disekitarnya juga luar biasa. Lebih baik membawa bekal makanan.
hanim permana;5 tahun lalu;Positif;Bukit Jaddhih;Saya sempat tidak percaya waktu tiket masuknya yg ngasihkan adalah anak2 tp wktu saya tanya ini beneran tiketnya ta..dia bilang iya klau tdk percaya boleh di periksa …
INoz DM;setahun lalu;Positif;Bukit Jaddhih;Akhirnya bisa kesini..wisata di bekas areal penambangan...murah meriah, keren sih, lumayanlah..ada pemandunya bisa moto juga..
Rina Luki;4 tahun lalu;Positif;Bukit Jaddhih;Pergi ke sana bertepatan dengan lebaran adalah bukan ide yang bagus. Ada preman berkeliaran meminta Rp.5000 per orang padahal sudah ada karcis masuk Rp.20.000 - membuat kesenangan seketika hilang. Sepertinya ini pertama dan terakhir untuk …
Grace_Octavia;setahun lalu;Positif;Bukit Jaddhih;Tempat untuk refresing dan cocok untuk berlibur dengan keluarga. Tempat di madura dan bisa diakses dengan mobil dan motor. Membayar 10b Banyak spot foto dan banyak turis lokal juga kesini
Yodika Yobellinda;10 bulan lalu;Positif;Bukit Jaddhih;Jalan menuju bukit nya parah sihh, foto prewedding cocok. Masuk tiket 5.000 /org
ALVIYAN;setahun lalu;Positif;Bukit Jaddhih;Waktu itu ke sini, masih omicron.. sepi, bagus tempat nya seperti di luar negri. Hanya ticketing nya yg perlu di tertibkan secara resmi.
