user;waktu;sentimen;lokasi;ulasan
Arin Arin;3 tahun lalu;Positif;pantai sembilan;"Pantai pasir putih dgn air laut biru bersih bikin hilang stress
Dsini cuaca nya panas bgt klo siang,lbih bagus sore sih tp prahu trakhir cm smpai jm 3 sore jd harus inap dn pnginapan dpinggir pntqi gt 500 prmalam klo prahu cm 10rb perorang tp klo udh lebih dr jm 3 gk ad lg pnumpqng harus carter bisa 300 lebih"
wahyu hari;2 bulan lalu;Positif;pantai sembilan;Pantai Pulau Sembilan, membutuhkan waktu kurang lebih 30 m3nit dari Pulau MAdura dari Pelabuhan Tanjung Saronggi, Sumenep. naik kapal dengan biaya 15 rb. Pantai bersih dengan laut yang biru, terdapat toko cemilan, dengan harga terjangkau
Yaniec Aquarius;4 tahun lalu;Positif;pantai sembilan;Wisata pantai 9 yang berada di pulau gili genting tepatnya di desa bringsang kabupaten sumenep. Pantai  yuang luasnya hanya seberapa tapi cukup memberikan kesan dan kenangan yang manis. Para wisata lokal maupun luar kota cukup merasa puas. …
Ardust Sirait;4 tahun lalu;Positif;pantai sembilan;Pantai yang sangat indah. Layak untuk dikunjungi bersama pacar sahabat ataupun keluarga. Pasir yang putih dan laut yang biru akan sangat memanjakan mata. Terdapat banyak spot foto dan tempat untuk bersantai di saung. Untuk biaya masuk …
Anwar D Murwanto;3 tahun lalu;Positif;pantai sembilan;Pantainya asik, masih sepi pengunjung, bisa buat camping dan juga terdapat banyak penginapan juga di sekeliling pesisir pantai. Penduduknya ramah², merawat pantainya juga pagi² nyapuin sampah² di pesisir pantai yg terbawa oleh air laut …
Ani Rasyadi;5 tahun lalu;Negatif;pantai sembilan;Pantainya lumayan bagus, buat selfi2 keren hasilnya asal kita bisa ambil angle yg pas. tp infrastruktur masih kurang memadai, krn air bersih di toilet kurang memadai jumlahnya, pas ke sana blm tersedia mushola, sehingga harus jalan lumayan agak jauh ke masjid. Kalo ke sini wajib bawa topi n kacamata.... Karena Hot banget
Maryam Khadeeja;setahun lalu;Negatif;pantai sembilan;"Pantainya bagus, lumayan banyak sampah, tolong buang sampah pada tempatnya,
PP nyebrang naik kapal kecil +-30menit siap"" mual bagi yg belum terbiasa,"
Sony 29;4 bulan lalu;Positif;pantai sembilan;Mantap jiwa..keren tempat nyaa
Rofi'atul Chusna;4 bulan lalu;Positif;pantai sembilan;Pantainya bersih
Rohmat Hajji;4 tahun lalu;Positif;pantai sembilan;Pantai bersih, fasilitas homestay ber-AC dan non-AC, kamar mandi, toilet, musola, ada beberapa warung dg menu relatif sederhana. Yakni rujak, nasi campur lauk telor atau ayam,  rawon, bisa juga pesan ikan bakar. Sarana permainan di laut yakni banana boat dan snorkeling. Spot untuk foto² mantap recomended.
Riana Nilasari;4 tahun lalu;Positif;pantai sembilan;KETJEEEE WOY !!! Gilak, maen ke sini tuh tanoa rencana banget. Awalnya iseng doang mau maen ke sumenep. Rejeki anak sholehah emang ga bakal kemana. Tau2 diajakin maen ke pantai keren ini. Lebih takjub lagi, akses kesini mudah dan murah …
Ahmad Fauzi;3 bulan lalu;Positif;pantai sembilan;Pantai yang terletak di pulau madura, tepatnya di Kab. Sumenep, kecamatan gili Genting ini cukup eksotik. Jika anda berkesempatan untuk wisata ke Madura, maka sebaiknya menyempatkan datang juga ke Pulau yang terdiri dari 4 Desa ini. …
Brian Adam;5 tahun lalu;Positif;pantai sembilan;Tempat wisata pantai baru dan keren di kabupaten Sumenep. Dilengkapi dengan penginapan. Kalau mau ke pantai ini harus nyeberang terlebih dahulu menggunakan perahu. Bagi yg bawa kendaraan bisa dititipkan di rumah warga sebelum menyeberang. Harga murah dan terjangkau.
oldest;4 tahun lalu;Positif;pantai sembilan;"Pantai yang recommended untuk siapa pun yang pengen liburan..
Warganya ramah-ramah.. Murah meriah juga.
Ada penginapannya juga.. Tapi kalau mau bawa tenda boleh juga. Fasilitas …"
Amsoriyah;2 tahun lalu;Positif;pantai sembilan;Hi ...Madura...tepatnya di daerah Sumenep yaa...jauuuhh bingit gaes...karena aq dari Jombang, tapi terbayar sudah dengan keindahan dan keelokan pantai ini...hamparan pasir putih yg terbentang luas seakan menyambut kedatangan qta …
Willy Singgih Chandrasasmita;5 tahun lalu;Positif;pantai sembilan;"Pantai ini bersih sekali ;)
Karena saya tiba disini pagi pagi, saya sempat menyaksikan tukang sapu membersihkan pantai ini. …"
Larassakti Kusuma;5 tahun lalu;Positif;pantai sembilan;jadi ketika kalian sampai sumenep guys, kalian jalan kaki dikit sampe mau ke kapal. kebetulan waktu itu pakai kapal yang muat 20 orangan lebih. tapi jangan dibayangkan kapal yang ada tempat duduknya trus bisa leha2 cantik. jadi aku pake …
Teguh Sando;5 bulan lalu;Positif;pantai sembilan;Pantainya masih alami.. suejuk.... indahnya matahri terbit..malamnya indah sunyi
m ramdan;4 tahun lalu;Positif;pantai sembilan;Tempat yg sangat menarik untuk membebaskan diri dari hiruk pikuknya kota, menjanjikan sunrise dan sunset yg sangat indah, pantainya bersih dan airnya pun jernih. …
Sefri;5 tahun lalu;Positif;pantai sembilan;Beautiful place. Di luar ekspetasi. Kita bisa melihat sunset dan sunrise di pantai ini. Ada banyak penginapan. Sekitar 45-60 menit penyebrangan dari sumenep. Biaya masuk murah, bahkan bisa nyebrangin motor. Wilayah pantai cukup luas. Banyak gubuk buatan dan akomodasi lain, untungnya tidak membuat pantai menjadi jelek.
Kukuh Hernowo;4 tahun lalu;Positif;pantai sembilan;"Pantai nya bersih
Fasilitas umum dermaga
Toiletnya bersih dan luas,airnya juga bagus ada fasilitas mesin cucunya …"
Iwan Sujarwo;5 tahun lalu;Positif;pantai sembilan;"Pantainya bersih, pemandangan indah apalagi kl cuaca cerah.
Makanan standart..nasi campur, mie instan. Harga terjangkau.
Buat ngopi n ngobrol asyik. …"
KomariyAh Yasmin;4 tahun lalu;Positif;pantai sembilan;Kenangan yg tak terlupakan, pantai yang indah dan mempesona, pantai yng ditempuh sekitar 2 jam dari gili labak dg kendaraan kapal feri, pesan saya kalau mau kembali dari pantai sembilan jangan terlalu sore, ombaknya dahsyat, lebih baik menginap, kembali pagi hari itu sangat aman klau kembali sore hari sangat beresiko.
Octaveani Tiono;4 tahun lalu;Positif;pantai sembilan;Bersih banget pantainya, airnya masih jernih dan kelihatan banget birunya. Disana juga terdapat cottage untuk bermalam. Waktu itu aku tanya sekitar 500 untuk harga 1 cottage/malam.  Selain di gili genting, gili labak juga punya pesona yg …
siti ningsih;setahun lalu;Positif;pantai sembilan;Nyebrang dari dermaga 1/2 jam, tempatnya bagus banget, tahun depan kesana lagi, penginapannya semalem ada yg 300rb ada yg 500rb. Kami yang 500rb bisa buat 5 orang
kustian tian;4 tahun lalu;Positif;pantai sembilan;Pantainya bersih, bagus dan indah. Udaranya segar, benar benar jauh dari polusi. Hanya saja di siang hari terasa sangat panas karena sedikit pohon untuk berteduh.  Akses menuju lokasi menggunakan perahu kayu untuk menyeberang sekitar 60 menit. Juga tersedia penginapan untuk yg ingin bermalam menikmati pemandangan panti di malam hari.
dian ekawati suryaman;5 tahun lalu;Positif;pantai sembilan;Pantainya sih biasa.. gak terlalu luas..pasirnya putih berbutir agak kasar.  Fasilitasnya yang yahud disini untuk ukuran kabupaten Sumenep.  Spot foto, ATV, penginapan, banana boat, camping ground, toilet umum, dll. Aksesnya dari pelabuhan …
Yunus;setahun lalu;Positif;pantai sembilan;"Sangat bagus pemandangan
Bisa  nginep di tempat
Smoga kedepannya tambah bagus lagi"
riski setia bhakti;3 bulan lalu;Positif;pantai sembilan;Tempat wisata ini bagus dan masih sepi dan bersih
Wonder UMMI;2 tahun lalu;Positif;pantai sembilan;"Kerennnnnn
Pantai bersih, sepi, nyaman untuk berlibur, ad homestay 300-500rb per malam.
Biaya sangat terjangkau.."
ardhianto ghani;4 tahun lalu;Positif;pantai sembilan;"pantainya bagus
ada banyak bungalow yg bisa dibuat untuk menginap, 1 bungalow bisa untuk 4-6 orang, harga mulai 300-600k.tergantung fasilitas. …"
Sefrina Tri Handini;5 tahun lalu;Positif;pantai sembilan;"Tampatnya bener bener cantik ??
Udah kayak bali sama lombok, pantainya bersih.. Panteslah buat wisata go internasional hehe …"
Indra Susandi;3 tahun lalu;Positif;pantai sembilan;Kalau hopping island dari Pelabuhan Tanjung biasanya mampir dulu di Pantai Sembilan di Gili Genting dan lanjut Gili Labak. Banyak juga wisnan kesini karna jaraknya cuman 40 mnt perjalanan. Pantainya berpasir putih  dan ombak relatif tenang. …
Iyog's Channel;2 tahun lalu;Negatif;pantai sembilan;Tempat yg bagus buat refreshing, tapi sayang penginapan kurang terawat, lebih pas buat yang suka backpacker-an
Putri Mayang;setahun lalu;Negatif;pantai sembilan;pantainya bersih, sampah pengunjung sebenernya sudah disediakan tempat sampah, tinggal kesadaran masing² wisatawan saja yg datang, penginapan tersedia, berAC, fasilitas umum seperti toilet cukup jika kunjungan wisatawan tidak terlalu …
hary setyawan;5 tahun lalu;Positif;pantai sembilan;Pantai ini ditempuh dengan perjalanan laut selama 30 menit dari Tanjung Saronggi. pantai dengan pasir putih dan terdapat spot buat Selfi yang Instagramable. Terdapat tempat penginapan disini jika Anda ingin bermalam dan menikmati suasana pantai yang berbeda di malam hari.
Dinda Kurniasari;5 tahun lalu;Positif;pantai sembilan;"Pantainya masih sepi ada penginapannya di pulau gili genting
Ombaknya tenang banget
Pasirnya putih …"
Elanna HC;5 tahun lalu;Positif;pantai sembilan;"Good place for relaxing your mind ??
Jika hendak ke pantai sembilan atau yang bisa juga disebut sebagai gili genting ini maka kita harus melakukan penyebarangan dari tanjung dahulu yang kurang …"
Romdhan Feriyadi;4 tahun lalu;Positif;pantai sembilan;Pantai pasir putih nan jernih masih...ada penginapan juga. Klo weekend pasti rame. Pemainan ada banana boat...klo buat liburan murah meriah kesini aja ?? …
Ikne MR Vedanta;5 tahun lalu;Positif;pantai sembilan;"Gili Labak - Gili Genting.

Berada di sebelah timur pulau Madura. Merupakan dua pulau yang berbeda. …"
YS Channel (Yoto Sugiarto);2 tahun lalu;Positif;pantai sembilan;"Pantai yang indah di Pulau Gili Genting, lumayan ramai pengunjungnya, banyak saung-saung buat tempat duduk dan santai,
ada juga di sini penginapan buat turis penginapannya lumayan bagus ya mepet …"
faiqotul isma dwi utami;5 tahun lalu;Positif;pantai sembilan;Pantai di kota Sumenep memang smuanya kereeen, airnya jernih, pantainya bersih... …
Mohammad Irvansyah;2 tahun lalu;Positif;pantai sembilan;"Nice scenery for photo spot ??
Fasilitas sudah cukup lengkap.. …"
jelajah sumenep;4 tahun lalu;Positif;pantai sembilan;Tempatnya asyik buat liburan keluarga, atau bersama pacar plus selingkuhan juga bisa.. yg paling keren dari pantai sembilan itu pak kadesnya..
iM Video;5 tahun lalu;Positif;pantai sembilan;Kalau beruntung ya bakalan seperti keluarga saya, menikmati pantai seakan pantai milik pribadi. Keren banget tempatnya, bersih, air jernih, gak terlalu panas, pasirnya putih bersih, wow banget lah. Apalagi tadi ditemenin sama kepala desanya langsung, wow amazing banget lah.
JOGLO SEMAR;setahun lalu;Positif;pantai sembilan;"Overall  Bagus..
Kebersihan masih harus diperhatikan lagi..
Fasilitas butuh perhatian lagi.. …"
Salahuddin Al Ayyubi;2 tahun lalu;Positif;pantai sembilan;"Pantai sembilan merupakan salah satu dari 2 pantai yang ada di pulau ini, biaya masuk dan menginap disini termasuk terjangkau bagi kantong mahasiswa
Agar dapat mencapai lokasi ini, temen² perlu menuju ke pelabuhan Bluto Sumenep, …"
habib wahyudi;5 tahun lalu;Positif;pantai sembilan;Pulau gili genting pantai sembilan. Pilihan yang tepat untuk menenangkan fikiran sejenak. Sangat2 privat dan sudah terdapat fasilitas yang cukup memadai bangettt. Dan ramah dikantong tentunya
Andi “Om Ganteng” Witoyo;9 bulan lalu;Positif;pantai sembilan;Harga penginapan terjangkau tiket menyebrang naik kapal 15.000.......warung buka 24 jam
teguh wicaksono;4 tahun lalu;Positif;pantai sembilan;"pantainya bagus,cocok buat berenang,santai,foto2
penginapan juga tersedia dari harga 300rb,500rb,dan 1jt
perjalanan stngh jam dari pelabuhan saronggi"
Niarti ghazali;3 tahun lalu;Positif;pantai sembilan;Orangnya ramah2 Makanan standart tidak terlalu mahal jadi tidak perlu khawatir soal makanan jajanan banyak yg jual disana ketika liburan pun buka hingga 24jam. …
RUDI KA;2 tahun lalu;Positif;pantai sembilan;Pulau ditengah laut madura dengan pemandangan indah suasana tenang serta terdapat sebuah penginapan sehingga kita bisa berlibur sehari semalam di pinggir pantai.
Yoel Dwi Putra Gultom;4 tahun lalu;Positif;pantai sembilan;Bersih. Desain unik. Namun sangat panas. Foto foto di siang hari merupakan hal yang diincar para turis. Lebih baik bawa sunblock. Jajajan disana juga tidak dijual dengan harga mahal. Pemandangan eksotis berupa banyak kapal yang sedang …
fadel abu aufa;5 tahun lalu;Positif;pantai sembilan;Sunrisenya oke banget, ayo liburan di pantai sembilan bareng madura vacation tour & travel, di pantai sembilan sudah tersedia 22 cottage dengan tarif 750 ribu permalam satu cottage
Lucy M;5 tahun lalu;Positif;pantai sembilan;Tempatnya bagus, dengan tiket masuk yg lumayan tdak menguras kantong, karena akan merasa puas dengan pemandangan yg disuguhkan dan potret untuk take a picture
Litta Helmi;3 bulan lalu;Positif;pantai sembilan;Jauh2 dari kota Kediri datang ke pantai sembilan,puas banget.pantainya bersih,airnya biru jernih.
Mas Devan;5 tahun lalu;Positif;pantai sembilan;Pantai sembilan sumrnep madura, adalah tempat wisata yg menyajikan pemandangan dg panorama yg eksotis, keindahan pantai yg cantik juga pasir butihnya yg bersih, disini juga menyediakan wahana bermain seperti banana boat ayunan perahu dayung …
Ratihindah Sari;5 tahun lalu;Positif;pantai sembilan;Sgt sgt suka dgn pantai nya, ini perjalanan trvlng kami dgn modal hny 150 rb sj tetapi tdk trmsk biaya mkn, selama 3 hari mengelilingi sumenep dn sktr x
Tuan Kuda;5 tahun lalu;Positif;pantai sembilan;Pantai ancol versi kecil haha, perjalanan cukup seru, cukup bayar 10ribu idah bisa nyebrang ke pulau genting, lalu untuk masuk ke pantai sembilan cukup bayar 10ribu lagi. Kalau mau ganti/bilas cukup siapkan uang 5ribu. …
Sur Yadi;setahun lalu;Negatif;pantai sembilan;Pantainya msh sama cuma takingnya sdh mulai kurang baik mungkin buat para pengelola bisa segera dperbaeki
Getardzikrullah _;5 tahun lalu;Positif;pantai sembilan;Pantainya sangat bagus, sangat cocok berlibur bersama keluarga ataupun sahabat anda. Disini juga menyediakan penginapan 300k/24jam yang isinya bisa 6-8 orang bro, mantap banget viewnya juga
Ulfatul Hasanah;setahun lalu;Positif;pantai sembilan;Pemandangan nya MasyaAllah bagus banget. Surga dunia ??
Lutfi Arifin;11 bulan lalu;Positif;pantai sembilan;Pantainya bagus, ada tempat penginapan. Semoga suatu saat bisa berkunjung kembali
Abdul Aziz;4 bulan lalu;Positif;pantai sembilan;Surga tersembunyi di ujung pulau madura
Dullatëp;3 tahun lalu;Positif;pantai sembilan;Bagus, indah dengan pengelolaan yang cukup baik. Ada penginapan dengan pendingin ruangan, cocok untuk liburan keluarga atau kantor. Masyarakat nya juga ramah.
Venus;7 bulan lalu;Positif;pantai sembilan;Pantai pasir putih yg indah, penyebrangan dg kapal hanya sebentar. Untuk teman2 yg berkunjung ikut jaga kebersihan pantai ya buang sampah pd tempat yg sdh disediakan ...
Halilintar Putra;4 bulan lalu;Positif;pantai sembilan;Alam yg indah dan masih asri.
Diyan Nadira;setahun lalu;Negatif;pantai sembilan;Dari Kabupaten pamekasan ke ka Kabupaten  sumenep pengen mengunjungi pantai sembilan hasilnya  mengecewakan. Berangkatnya 40ribu pulang nya 40 ribu. Karcis pantai 30 ribu. Janjian  gak bakalan  kesini lagi
Reyhan Cikal;4 tahun lalu;Negatif;pantai sembilan;Pantai nya bagus, cuaca yang sangat panas. Jarang angin yang berhembus. Ketika mencoba menyelam untuk melihat dasar laut perairan dekat bibir pantai. Sungguh mengecewakan karena banyak sekali sampah. Terutama sampah plastik. Mohon untuk …
Dewi Masyitoh;4 tahun lalu;Negatif;pantai sembilan;Tempat yang cukup bagus. Sangat rapi sebagai tempat wisata.. fasilitas memadai. Sayang, krn penggunaan plastik masih cukup tinggi di kawasan ini, cukup berbahaya untuk kesehatan lingkungan di masa mendatang. Seperti es degan yg harus di …
muhamad iskandar;4 tahun lalu;Positif;pantai sembilan;"Tempat yg sangat luar biasa indah, pantai yg bersih dngan air laut yg jernih.
Cocok untuk yg pengen berlibur sambil menenangkan diri karena wisatawan yg tidak terlalu banyak tiap hari nya."
Rangga Branco;4 tahun lalu;Positif;pantai sembilan;Gili Genting, Pantai sembilan memang istimewa untuk liburan . Tiket masuknya cuma 10ribu rupiah saja
Nadyah Triasakti;setahun lalu;Positif;pantai sembilan;"Penyebrangan PP 20K
Tiket masuk 15K
Penginapan mulai harga 300, 500, 750 full ac"
Ilham Sandri Koto;setahun lalu;Negatif;pantai sembilan;Cukup bagus dan terawat, hanya sedikit kurang bersih saja pasirnya karena ada beberapa sampah
Muhammad Prasetyo;5 tahun lalu;Positif;pantai sembilan;Salah satu objek wisata di Madura (Sumenep). Hamparan pasir putih di pantai ini memiliki keunikan tersendiri. Jika dilihat dari atas, garis pantai ini memiliki bentuk seperti angka sembilan dengan laguna air di tengahnya. Maka itu destinasi …
Fikar Ale;2 tahun lalu;Positif;pantai sembilan;Tempatnya bagus, apalagi kalo lagi surut. Air bersihnya juga ada dan banyak. Ombaknya ga terlalu besar, tapi sayang banyak ranting-ranting daun-daunan yang bikin kurang enak dilihat. Sampah plastiknya sedikit kok
Fay Fay;5 tahun lalu;Positif;pantai sembilan;Its a beautifull beach ... it can be next destination after bali island. Airnya jernih spt kolam renang dg air yg tenang tanpa ombak jd aman utk anak2 berenang. Awesome
Ida Alifitriyah;3 tahun lalu;Positif;pantai sembilan;Tempat yg sangat nyaman dan hangat untuk bermalam. recomended banget untuk kalian melepas penat. view pantai sangat bagus, suasana malamnya sangat nyaman, fsilitas penginapan oke banget. plus, keramahan dari pak kades dan warga sekitar …
Maulana Ibrahim;2 tahun lalu;Positif;pantai sembilan;Masyaallah, banyak kepitingnya sama cumi-cumi. Jangan lupa, jika berkunjung kesini bawa pancing dan umpan udang2an. Serta jaring ikan.
siminchu aja;setahun lalu;Positif;pantai sembilan;kalau malam begitu eksotis... jadi pengin balik ke sini lagi ...
Kiya;5 tahun lalu;Positif;pantai sembilan;Pantai bersih, banyak spot foto bagus, sudah disediakan penginapan juga di kawasan pantai, banyak tempat untuk membeli makanan.
