lokasi;ulasan;sentimen
Bukit Jaddhih;"Kunjungan yang kesekian kalinya bersama keluarga besar, tempat tambang dan suasana bukit kapur putih tertata bekas tambang.
Goa poteh yg artistik dari hasil potongan penambang. Menghasilkan lubang goa yg menarik.";Positif
Bukit Jaddhih;"kesana lewat jalur suramadu
cukup mudah diakses dengan google map
karena di sepanjang jalan masih jarang ada petunjuk jalan ke tempat ini …";Positif
Bukit Jaddhih;Perjalanan sangat menyenangkan. Kanan kiri persawahan yg sejuk. Jalan lumayan halus, dan agak sepi walau agak sempit. Setiba di bukit kapur, cuacanya sangat panas. Maklum pulau Madura terkenal akan panasnya. Namun terobati dengan …;Positif
Bukit Jaddhih;Kesini sudah 3 kali dengan rombongan teman dan keluarga. Tempatnya luas banget, cuma agak panas ya;Positif
Bukit Jaddhih;Wisata bukit Jaddih lumayan juga buat rekreasi keluarga. Masuk pertama bayar 5rb trus parkir masuk pertama bayar 25rb trus parkir kedua bayar 20rb. Ini yg parkir ke goa pote. Setelah dapet parkiran baru jalan menuju wisata. Pilihan bisa …;Positif
Bukit Jaddhih;Sangat disayangkan potensi wisata madura yang seharusnya bisa menjadi ikon wisata bangkalan tetapi masih banyak pungli dan keamanan menuju lokasi membuat wisatawan berpikir 2x untuk berkunjung kesini. Saya sebagai warga Bangkalan juga cukup …;Negatif
Bukit Jaddhih;Takjub dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …;Positif
Bukit Jaddhih;Tempaynya sangat panas.. Ini adalah semacam tebing kapur yang masih d kelolah secara tradisional oleh penduduk sekitar.. Saat maret 2018 saya ke sana pekerja juga sedang membuat kamar2 yg nantinya akan d sewakan untuk pengunjung. Kamar …;Positif
Bukit Jaddhih;"Masih belum terkelola dengan baik... Mungkin karena obyek wisata masih baru...
Lagian masih banyak truk proyek yang bersliweran.... Dan masih ada pengerjaan proyek penggalian untuk batu bata putih. …";Negatif
Bukit Jaddhih;Sangat oke tempatnya igable banget! Cuman jalanan kesini rada jelek, dan mayan lah dari kluaran suramadu. Worth it tapii 👌🏼 …;Negatif
Bukit Jaddhih;Bukit Jaddih merupakan lokasi penambangan kapur yang hingga saat ini masih aktif. Melihat polanya, kemungkinan tambang ini dahulu dikerjakan secara manual sebelum akhirnya menggunakan alat berat seperti saat ini. Pada lokasi yang sudah …;Positif
Bukit Jaddhih;Salah satu tempat wisata baru di madura.bukit kapur yang indah untuk dikunjungi. Tapi lebih baik berkunjung saat pagi hari atau sore hari agar tidak terlalu panas .di siang hari tempat ini sangat panas dan pemandangan cukup menyilaukan …;Positif
Bukit Jaddhih;"Mmh karena ini penambangan, jadi tiap tahun seakan berubah ubah.
Kalau buat poto cocok pas panas terik. Tapi kalau untuk santai, cocoknya pas teduh pagi atau sorean. …";Positif
Bukit Jaddhih;Tempat yang Lumayan Bagus , Sepi banget waktu kesini , cocok buat liburan rame rame bareng ,panas banget tapi kebantu angin yang lumayan kencang , 2x tarif di pintu awal dan pintu akhir , tempat bersih , full kapur dari ujung ke ujung , …;Positif
Bukit Jaddhih;Tempat yg megah dan mengagumkan. Kalau siang akan silau sekali dan berangin. Disarankan pakai kacamata. Terdapat warung minum dan toilet. Tempat parkir tersedia. Loket masuk area Goa Pote per orang Rp 5.000,- (retribusi mobil dan parkir tdk …;Positif
Bukit Jaddhih;Pas ga keliatan putih karena musim hujan.Jalan masuknya ancur.bayar 3x 😥 …;Negatif
Bukit Jaddhih;Lokasi cukup mudah dijangkau. Tiket masuk murah. Terdapat kolam renang untuk anak-anak. Dan ada rakit kecil untuk berkeliling danau. Banyak penjual minuman dan makanan ringan disana. Toilet kurang bersih. Untuk mendapatkan hasil fto yang bagus lebih baik datang pagi agar matahari tidak terlalu panas.;Positif
Bukit Jaddhih;Baru aja nyobain lagi datang kesini setelah beberapa tahun engga ke bukit jaddih.. entah karena lagi pandemi, yang datang kesini jauh lebih sedikit daripada dulu.. malah tadi saja sendiri saja yang datang.. di pintu masuk, ada retribusi …;Negatif
Bukit Jaddhih;Wisata Bukit Jaddih bangkalan merupakan tempat wisata yang harus anda kunjungi karena pesona keindahannya tidak ada duanya. Penduduk lokal daerah Bangkalan juga sangat ramah tamah terhadap wisatawan lokal maupun wisatawan asing. Kota …;Positif
Bukit Jaddhih;"15menitan setelah keluar dari suramadu. Akses jln masih sempit lewat perkampungan.
Pemandangan sangat bagus bwt yg hobby foto"" sayang blm dikelola dgn baik,, akses …";Positif
Bukit Jaddhih;Bukit jaddih merupakan tempat wisata yang tergolong baru dan hits banget dikalangan traveler lokal maupun internasional. Tempat ini meyuguhkan pemandangan yang indah yaitu area bukit kapur yangvputih sehingga terkesan ada di area salju. …;Positif
Bukit Jaddhih;"Bukit Jaddih di Madura.
Di Kabupaten Bangkalan Madura.
Objek wisata di Madura yang lumayan deket kalo dr Surabaya lewat jembatan …";Positif
Bukit Jaddhih;Wisata Bekas Tambang kapur yang menarik dan eksotis, hanya saja untuk anak2 butuh pengawasan optimal dan lebih berhati2,, tempat parkir luas;Positif
Bukit Jaddhih;Kesalahan saya saat berkunjung adalah tidak membawa masker dan kaca mata. Penambangan perbukitan kapur yang terus berlangsung menyisakan bentuk tak beraturan yang indah dipandang, panasnya mentari yang menyengat semakin meningkatkan daya …;Positif
Bukit Jaddhih;"terdapat banyak spot foto yg bagus
tarif naik rakit 5k/org dan 1 rakit bisa diisi 8-9 org. jalan menuju bukit gampang ditemukan tapi untuk mobil jalan tsb kecil, tp masih bisa minggir klo gantian …";Positif
Bukit Jaddhih;Masih perlu perhatian dr pemerintah setempat.akses jln menuju lokasi msh bergelombang.meskipun panas tp asyik buat berfoto2 ria.;Negatif
Bukit Jaddhih;Awalnya saya penasaran sampai akhirnya datanglah ke Bukit kapur yang letaknya ada di pusat kota Bangkalan ini. Ingin melihat langaung dan membuktikan sendiri keindahan bukit kapur yang diberi nama bukit Jaddih ini. Ga hanya lewat foto-foto …;Positif
Bukit Jaddhih;Kunjungan tanggal 21 November 2021. Info tiket untuk pengendara sepeda motor dikenakan tarif Rp10.000,- per sepeda motor. Tiket masuk beda lagi, tiket masuk Rp5.000,- per orang. Saya sempat tanya ke pihak yang meminta tiket masuk, katanya …;Negatif
Bukit Jaddhih;Tempatnya tersembunyi sekali dan untuk akses jalan kurang memadai. bahkan ada beberapa jalan hanya muat untuk 1 mobil saja jadi apabila papasan salah satu mobil harus mundur. all over tempat wisata ini cukup menarik saja untuk di kunjungi. …;Positif
Bukit Jaddhih;hati2 pungli di area wisata.. biaya masuk hanya 1x, berbeda dgn biaya utk berenang. siap sedia kacamata dan masker krna debu kapur banyak berterbangan, terutama saat panas;Negatif
Bukit Jaddhih;"Actually B aja :')
Tapi kalo serius dirawat pasti keren banget sih
Misalnya tiap kali lumut keluar, dibersihin biar kembali putih bersih
Trus airnya juga, dijaga dari sampah biar lebih jernih";Positif
Bukit Jaddhih;Masih ada pungli di beberapa lokasi. Pas masuk ditarik 10rb/motor. Mau masuk ke danau ditarik lagi 5rb/org;Negatif
Bukit Jaddhih;Untuk pemandangan bukit kapur dan kita bisa masuk ke dalam goa termasuk experince lain yg patut dicoba, tp syg akses kesini jalannya lumayan jelek;Negatif
Bukit Jaddhih;Ini bukit kapur yang terletak di Pulau madura. Banyak spot fotonya. Kalau kesini, sempatkan naik ke puncak bukit tertingginya untuk melihat sunset. Indah dan keren banget pemandangannya. Area parkir dimana-mana. Ada musholla di area danaunya. Tapi banyak punglinya waktu saya kesini dulu.;Positif
Bukit Jaddhih;Bukt kapur di bangkalan, Madura. Tempatnya bagus, tapi sangat panas. Fasilitas belum memadai, masih kurang. Pungutan tidak cuma sekali. Masuk kendaraan 10 rb, setelah itu ada tarikan lagi 5 rb per orang. Harus lebih dibenahi kedepan. Untuk toilet, tempat istirahat, dan lain-lain.;Positif
Bukit Jaddhih;Hidden gems.. tempat penambangan batu kapur, masih aktif saat ini.. lokasi dapat dijangkau mobil, beberapa spot sudah dibentuk untuk wisata.. punya potensi baik;Positif
Bukit Jaddhih;"Dekat dr Suramadu

Masuk bayar Mobil 20rb, Orang 5rb
Naik ke atas bukit bs pk ojek";Positif
Bukit Jaddhih;Makin bagus dengan adanya air kolam yg beberapa waktu lalu kering, sekarang perahunya sudah bisa operasi, ada kuda joget juga...sayangnya banyak lumut didinding jago gak begitu tampak putihnya...;Positif
Bukit Jaddhih;"Tempatnya kalo hari biasa sepi , tp kalo idealnya diatas jam 12 soalnya matahari sudah di barat jadi tidak terlalu panas
Tiket masuk mobil 20rb dan motor 10rb
Untuk ke goa pote ditambah lagi per orang 5rb";Positif
Bukit Jaddhih;"KEREN DAN SANGAT MEMANJAKAN MATA.
Saran jam kunjung pagi atau sore ya gaiss.
Jangan lupa tanya warga lokal walapun kita sudah pake maps. Karena jalurnya …";Positif
Bukit Jaddhih;Kawasan bukit bekas penambangan batu kapur ini sangat berpotensi untuk dijadikan wisata tentunya dengan penataan yang lebih baik dari pengelola. Bukit batu kapur dengan liang berbentuk seperti tempat tinggal pada masa jaman batu. Fasilitasnya cukup baik ada toko suvenir, kantin, dan toilet;Positif
Bukit Jaddhih;Instragram bgt...cocok buat yg suka foto2, mobil bisa masuk kearah bukit2 kapur, tiket masuknya 20 rb untuk 2 orang plus mobil, kalo mau ke danau dikenakan tiket lg per orang 5 rb;Positif
Bukit Jaddhih;Baru pertama kali tempatnya cukup jauh dari Kota Surabaya, berhati-hati dengan map google titik lokasinya salah, makanya kemarin tanya ke orang desa atau kampung bicaranya tidak begitu jelas, tempatnya tidak memiliki tanda papan nama …;Negatif
Bukit Jaddhih;"Tempatnya panas akibat terik matahari, disarankan untuk membawa payung.
Jalan untuk masuknya masih terjal, disarankan membawa kendaraan minimal MPV atau SUV dan sangar tidak disarankan membawa sedan/citycar. …";Positif
Bukit Jaddhih;Bukit kapur yang dibuka untuk wisata karena itu perlu berhati-hati karena penambangan kapurnya masih aktif. Pakai masker dan datang pada pagi hari adalah pilihan terbaik. Danaunya bagus dan pemandangan disekitarnya juga luar biasa. Lebih baik membawa bekal makanan.;Positif
Bukit Jaddhih;Saya sempat tidak percaya waktu tiket masuknya yg ngasihkan adalah anak2 tp wktu saya tanya ini beneran tiketnya ta..dia bilang iya klau tdk percaya boleh di periksa …;Positif
Bukit Jaddhih;Akhirnya bisa kesini..wisata di bekas areal penambangan...murah meriah, keren sih, lumayanlah..ada pemandunya bisa moto juga..;Positif
Bukit Jaddhih;Pergi ke sana bertepatan dengan lebaran adalah bukan ide yang bagus. Ada preman berkeliaran meminta Rp.5000 per orang padahal sudah ada karcis masuk Rp.20.000 - membuat kesenangan seketika hilang. Sepertinya ini pertama dan terakhir untuk …;Positif
Bukit Jaddhih;Tempat untuk refresing dan cocok untuk berlibur dengan keluarga. Tempat di madura dan bisa diakses dengan mobil dan motor. Membayar 10b Banyak spot foto dan banyak turis lokal juga kesini;Positif
Bukit Jaddhih;Jalan menuju bukit nya parah sihh, foto prewedding cocok. Masuk tiket 5.000 /org;Positif
Bukit Jaddhih;Waktu itu ke sini, masih omicron.. sepi, bagus tempat nya seperti di luar negri. Hanya ticketing nya yg perlu di tertibkan secara resmi.;Positif
Bukit Jaddhih;Amazeee bgt ya sm tempatnya.. keren.. kesini nya agak sorean jd bisa dpt spot foto yg cantiik. Salah satu wisata yg menarik di madura, bisa kagum sm keindahan bukit jaddih. Apalagi sambil nunggu sunset, makin indah bgt deh.;Positif
Bukit Jaddhih;"Wisata bukit kapur yg khas di Madura.. Tarif masuk lokasi 10rb per motor.. Kalau masuk area wisatanya ada tarif lagi..
. …";Positif
Bukit Jaddhih;Pertama kali kesini. Tempatnya panas, memang bukit kapur. Ada kolam dengan sedikit air. Tapi justru menambah eksotis lokasinya.;Positif
Bukit Jaddhih;Bukit Jaddih, satu-satunya tempat wisata di pulau Madura yang pernah aku datangi. Tempatnya lumayan bagus. Areal pertambangan yang sekaligus dijadikan tempat rekreasi. Kece bànget tempatnya. Nggak rugilah saya jauh-jauh dari Sumatera mampir …;Positif
Bukit Jaddhih;Daya tarik destinasi Wisata Bukit Jaddhih hampir cukup terkenal di kalangan Masyarakat Jawa. Semoga pemerintahan setempat menambah fasilitas hingga Wisata Bukit Jaddih terkenal hingga Mancanegara …;Positif
Bukit Jaddhih;tempat bagus buat foto. klo dijogja mirip tebing breksi tp disini lebih besar. karna dibuka belom lama masih dalam penataan wisata. ada kolam renang juga. parkir luas, kita pake bus besar bisa sampe lokasi tidak perlu jalan jauh. tp sayang …;Positif
Bukit Jaddhih;Lokasi bekas penambangan yg kemudian dijadikan spot foto, jalan menuju bukit jaddih lumayan susah, lebih disarankan untuk menggunakan kendaraan roda dua. Harus pandai-pandai untuk mengambil angel foto utk menghasilkan foto yang Ok punya...;Positif
Bukit Jaddhih;Kalau mau ke tempat ini jangan siang karena sangat panas, mending sore sekalian liat sunset karena begitu bagus dan istimewa. Jalanan menuju tempat ini bisa pake gmaps, tapi jalanan kecil sempit dan banyak yang rusak, sebenarnya disini cuma …;Positif
Bukit Jaddhih;Saya kemaren baru Dari sana pintu masuk pertama d Minta karcis d tengah jln d pinta lagi sudah d dalm d minta nya lagi terlalu Banyak pungli fasilitas apapun gk Ada sangat mengecewakan;Negatif
Bukit Jaddhih;Lokasinya tidak jauh dr Jembatan Suramadu, ± 20 menit perjalanan menggunakan mobil / motor. Harga tiket masuk terjangkau. Ada kolam renang, Goa & Rakit mengarungi danau mini. Sangat layak anda kunjungi..;Positif
Bukit Jaddhih;Tempat nya cakep dan indah, akses masuk susah, jalan rusak, banyak tarikan pungli, tempat berdebu (serbuk kapur), akses jalan cukup berbahaya karena tidak ada jalur pejalan kaki dan pegangan;Positif
Bukit Jaddhih;"Bukit kapur yang menjadi wisata dan bisa menjadikan Bangkalan semakin terkenal!

Seperti selayaknya suasana bukit Kapur pada umumnya yang berdebu, terik panas …";Positif
Bukit Jaddhih;Takjud dengan segala yang diciptakan oleh-Nya. Bukit Jaddih merupakan destinasi wisata di Kabupaten Bangkalan Madura. Pemandangannya memang beda dari tempat wisata pada umumnya. …;Positif
Bukit Jaddhih;Bukit kapur yang apik, sayangnya kurangnya koordinasi para penjaga and parkir... Harusnya kalau sudah berani kasih tiket masuk. Pelayanan untuk wisata lebih baik ditingkatkan dan pemisahan dengan daerah tambanganya di pertimbangkan. Bagus banget buat foto2 😍 …;Positif
Bukit Jaddhih;Untuk rekreasi keluarga sangat oke, ada kolam renangnya, dg view bukit bekas galian batu kapur yg disulap menjadi destinasi wisata outdoor. Parkir luas, kendaraan bisa naik ke atas bukit terus untuk selfie2.;Positif
Bukit Jaddhih;Bukit Jaddih terletak tidak jauh dari pusat kota Bangkalan.  Cuaca di sini sangat terik, jangan lupa membawa topi atau payung tetapi bukit kapur yang unik ini merupakan spot foto yang sangat menarik.  Kontribusi untuk masuk ke lokasi ini juga lumayan murah.;Positif
Bukit Jaddhih;Waktu kesana sepi bangeett, dan yaa kek ada pungli gitu yaa, si bapak2 minta bayar masuk padahal udah ada loket tiketnya. Tapi yauda gapapa bayar ajaa, dripada nnti kenapa2. …;Negatif
Bukit Jaddhih;Akses ke wisata ini masih jelek, ada tarik'an d awal yang ngeprank wisatawan, selain itu harga msuk msih ok si..;Negatif
