lokasi;sentimen;komentar
pantai sembilan;Positif;Tempat wisata pantai yg rekomended, view pantai dan pasirnya halus bersih dan warnanya instagramable, cocok untuk wisata keluarga.
pantai sembilan;Positif;"Pantai pasir putih dgn air laut biru bersih bikin hilang stress
Dsini cuaca nya panas bgt klo siang,lbih bagus sore sih tp prahu trakhir cm smpai jm 3 sore jd harus inap dn pnginapan dpinggir pntqi gt 500 prmalam klo prahu cm 10rb perorang tp klo udh lebih dr jm 3 gk ad lg pnumpqng harus carter bisa 300 lebih"
pantai sembilan;Positif;Pantai Pulau Sembilan, membutuhkan waktu kurang lebih 30 m3nit dari Pulau MAdura dari Pelabuhan Tanjung Saronggi, Sumenep. naik kapal dengan biaya 15 rb. Pantai bersih dengan laut yang biru, terdapat toko cemilan, dengan harga terjangkau
pantai sembilan;Positif;Wisata pantai 9 yang berada di pulau gili genting tepatnya di desa bringsang kabupaten sumenep. Pantai  yuang luasnya hanya seberapa tapi cukup memberikan kesan dan kenangan yang manis. Para wisata lokal maupun luar kota cukup merasa puas. …
pantai sembilan;Positif;Pantai yang sangat indah. Layak untuk dikunjungi bersama pacar sahabat ataupun keluarga. Pasir yang putih dan laut yang biru akan sangat memanjakan mata. Terdapat banyak spot foto dan tempat untuk bersantai di saung. Untuk biaya masuk …
pantai sembilan;Netral;Pantainya asik, masih sepi pengunjung, bisa buat camping dan juga terdapat banyak penginapan juga di sekeliling pesisir pantai. Penduduknya ramah², merawat pantainya juga pagi² nyapuin sampah² di pesisir pantai yg terbawa oleh air laut …
pantai sembilan;Positif;Pantainya lumayan bagus, buat selfi2 keren hasilnya asal kita bisa ambil angle yg pas. tp infrastruktur masih kurang memadai, krn air bersih di toilet kurang memadai jumlahnya, pas ke sana blm tersedia mushola, sehingga harus jalan lumayan agak jauh ke masjid. Kalo ke sini wajib bawa topi n kacamata.... Karena Hot banget
pantai sembilan;Netral;"Pantainya bagus, lumayan banyak sampah, tolong buang sampah pada tempatnya,
PP nyebrang naik kapal kecil +-30menit siap"" mual bagi yg belum terbiasa,"
pantai sembilan;Positif;Mantap jiwa..keren tempat nyaa
pantai sembilan;Positif;Pantainya bersih
pantai sembilan;Positif;Pantai bersih, fasilitas homestay ber-AC dan non-AC, kamar mandi, toilet, musola, ada beberapa warung dg menu relatif sederhana. Yakni rujak, nasi campur lauk telor atau ayam,  rawon, bisa juga pesan ikan bakar. Sarana permainan di laut yakni banana boat dan snorkeling. Spot untuk foto² mantap recomended.
pantai sembilan;Positif;KETJEEEE WOY !!! Gilak, maen ke sini tuh tanoa rencana banget. Awalnya iseng doang mau maen ke sumenep. Rejeki anak sholehah emang ga bakal kemana. Tau2 diajakin maen ke pantai keren ini. Lebih takjub lagi, akses kesini mudah dan murah …
pantai sembilan;Netral;Pantai yang terletak di pulau madura, tepatnya di Kab. Sumenep, kecamatan gili Genting ini cukup eksotik. Jika anda berkesempatan untuk wisata ke Madura, maka sebaiknya menyempatkan datang juga ke Pulau yang terdiri dari 4 Desa ini. …
pantai sembilan;Positif;Tempat wisata pantai baru dan keren di kabupaten Sumenep. Dilengkapi dengan penginapan. Kalau mau ke pantai ini harus nyeberang terlebih dahulu menggunakan perahu. Bagi yg bawa kendaraan bisa dititipkan di rumah warga sebelum menyeberang. Harga murah dan terjangkau.
pantai sembilan;Positif;"Pantai yang recommended untuk siapa pun yang pengen liburan..
Warganya ramah-ramah.. Murah meriah juga.
Ada penginapannya juga.. Tapi kalau mau bawa tenda boleh juga. Fasilitas …"
pantai sembilan;Positif;Hi ...Madura...tepatnya di daerah Sumenep yaa...jauuuhh bingit gaes...karena aq dari Jombang, tapi terbayar sudah dengan keindahan dan keelokan pantai ini...hamparan pasir putih yg terbentang luas seakan menyambut kedatangan qta …
pantai sembilan;Positif;"Pantai ini bersih sekali ;)
Karena saya tiba disini pagi pagi, saya sempat menyaksikan tukang sapu membersihkan pantai ini. …"
pantai sembilan;Positif;jadi ketika kalian sampai sumenep guys, kalian jalan kaki dikit sampe mau ke kapal. kebetulan waktu itu pakai kapal yang muat 20 orangan lebih. tapi jangan dibayangkan kapal yang ada tempat duduknya trus bisa leha2 cantik. jadi aku pake …
pantai sembilan;Positif;Pantainya masih alami.. suejuk.... indahnya matahri terbit..malamnya indah sunyi
pantai sembilan;Positif;Tempat yg sangat menarik untuk membebaskan diri dari hiruk pikuknya kota, menjanjikan sunrise dan sunset yg sangat indah, pantainya bersih dan airnya pun jernih. …
pantai sembilan;Positif;Beautiful place. Di luar ekspetasi. Kita bisa melihat sunset dan sunrise di pantai ini. Ada banyak penginapan. Sekitar 45-60 menit penyebrangan dari sumenep. Biaya masuk murah, bahkan bisa nyebrangin motor. Wilayah pantai cukup luas. Banyak gubuk buatan dan akomodasi lain, untungnya tidak membuat pantai menjadi jelek.
pantai sembilan;Positif;"Pantai nya bersih
Fasilitas umum dermaga
Toiletnya bersih dan luas,airnya juga bagus ada fasilitas mesin cucunya …"
pantai sembilan;Positif;"Pantainya bersih, pemandangan indah apalagi kl cuaca cerah.
Makanan standart..nasi campur, mie instan. Harga terjangkau.
Buat ngopi n ngobrol asyik. …"
pantai sembilan;Positif;Kenangan yg tak terlupakan, pantai yang indah dan mempesona, pantai yng ditempuh sekitar 2 jam dari gili labak dg kendaraan kapal feri, pesan saya kalau mau kembali dari pantai sembilan jangan terlalu sore, ombaknya dahsyat, lebih baik menginap, kembali pagi hari itu sangat aman klau kembali sore hari sangat beresiko.
pantai sembilan;Positif;Bersih banget pantainya, airnya masih jernih dan kelihatan banget birunya. Disana juga terdapat cottage untuk bermalam. Waktu itu aku tanya sekitar 500 untuk harga 1 cottage/malam.  Selain di gili genting, gili labak juga punya pesona yg …
pantai sembilan;Positif;Nyebrang dari dermaga 1/2 jam, tempatnya bagus banget, tahun depan kesana lagi, penginapannya semalem ada yg 300rb ada yg 500rb. Kami yang 500rb bisa buat 5 orang
pantai sembilan;Positif;Pantainya bersih, bagus dan indah. Udaranya segar, benar benar jauh dari polusi. Hanya saja di siang hari terasa sangat panas karena sedikit pohon untuk berteduh.  Akses menuju lokasi menggunakan perahu kayu untuk menyeberang sekitar 60 menit. Juga tersedia penginapan untuk yg ingin bermalam menikmati pemandangan panti di malam hari.
pantai sembilan;Netral;Pantainya sih biasa.. gak terlalu luas..pasirnya putih berbutir agak kasar.  Fasilitasnya yang yahud disini untuk ukuran kabupaten Sumenep.  Spot foto, ATV, penginapan, banana boat, camping ground, toilet umum, dll. Aksesnya dari pelabuhan …
pantai sembilan;Positif;"Sangat bagus pemandangan
Bisa  nginep di tempat
Smoga kedepannya tambah bagus lagi"
pantai sembilan;Positif;Tempat wisata ini bagus dan masih sepi dan bersih
pantai sembilan;Positif;"Kerennnnnn
Pantai bersih, sepi, nyaman untuk berlibur, ad homestay 300-500rb per malam.
Biaya sangat terjangkau.."
pantai sembilan;Positif;"pantainya bagus
ada banyak bungalow yg bisa dibuat untuk menginap, 1 bungalow bisa untuk 4-6 orang, harga mulai 300-600k.tergantung fasilitas. …"
pantai sembilan;Positif;"Tampatnya bener bener cantik ??
Udah kayak bali sama lombok, pantainya bersih.. Panteslah buat wisata go internasional hehe …"
pantai sembilan;Positif;Kalau hopping island dari Pelabuhan Tanjung biasanya mampir dulu di Pantai Sembilan di Gili Genting dan lanjut Gili Labak. Banyak juga wisnan kesini karna jaraknya cuman 40 mnt perjalanan. Pantainya berpasir putih  dan ombak relatif tenang. …
pantai sembilan;Positif;Tempat yg bagus buat refreshing, tapi sayang penginapan kurang terawat, lebih pas buat yang suka backpacker-an
pantai sembilan;Netral;pantainya bersih, sampah pengunjung sebenernya sudah disediakan tempat sampah, tinggal kesadaran masing² wisatawan saja yg datang, penginapan tersedia, berAC, fasilitas umum seperti toilet cukup jika kunjungan wisatawan tidak terlalu …
pantai sembilan;Netral;Pantai ini ditempuh dengan perjalanan laut selama 30 menit dari Tanjung Saronggi. pantai dengan pasir putih dan terdapat spot buat Selfi yang Instagramable. Terdapat tempat penginapan disini jika Anda ingin bermalam dan menikmati suasana pantai yang berbeda di malam hari.
pantai sembilan;Positif;"Pantainya masih sepi ada penginapannya di pulau gili genting
Ombaknya tenang banget
Pasirnya putih …"
pantai sembilan;Netral;"Good place for relaxing your mind ??
Jika hendak ke pantai sembilan atau yang bisa juga disebut sebagai gili genting ini maka kita harus melakukan penyebarangan dari tanjung dahulu yang kurang …"
pantai sembilan;Positif;Pantai pasir putih nan jernih masih...ada penginapan juga. Klo weekend pasti rame. Pemainan ada banana boat...klo buat liburan murah meriah kesini aja ?? …
pantai sembilan;Netral;"Gili Labak - Gili Genting.

Berada di sebelah timur pulau Madura. Merupakan dua pulau yang berbeda. …"
pantai sembilan;Positif;"Pantai yang indah di Pulau Gili Genting, lumayan ramai pengunjungnya, banyak saung-saung buat tempat duduk dan santai,
ada juga di sini penginapan buat turis penginapannya lumayan bagus ya mepet …"
pantai sembilan;Positif;Pantai di kota Sumenep memang smuanya kereeen, airnya jernih, pantainya bersih... …
pantai sembilan;Netral;"Nice scenery for photo spot ??
Fasilitas sudah cukup lengkap.. …"
pantai sembilan;Positif;Tempatnya asyik buat liburan keluarga, atau bersama pacar plus selingkuhan juga bisa.. yg paling keren dari pantai sembilan itu pak kadesnya..
pantai sembilan;Positif;Kalau beruntung ya bakalan seperti keluarga saya, menikmati pantai seakan pantai milik pribadi. Keren banget tempatnya, bersih, air jernih, gak terlalu panas, pasirnya putih bersih, wow banget lah. Apalagi tadi ditemenin sama kepala desanya langsung, wow amazing banget lah.
pantai sembilan;Positif;"Overall  Bagus..
Kebersihan masih harus diperhatikan lagi..
Fasilitas butuh perhatian lagi.. …"
pantai sembilan;Positif;"Pantai sembilan merupakan salah satu dari 2 pantai yang ada di pulau ini, biaya masuk dan menginap disini termasuk terjangkau bagi kantong mahasiswa
Agar dapat mencapai lokasi ini, temen² perlu menuju ke pelabuhan Bluto Sumenep, …"
pantai sembilan;Positif;Pulau gili genting pantai sembilan. Pilihan yang tepat untuk menenangkan fikiran sejenak. Sangat2 privat dan sudah terdapat fasilitas yang cukup memadai bangettt. Dan ramah dikantong tentunya
pantai sembilan;Positif;Harga penginapan terjangkau tiket menyebrang naik kapal 15.000.......warung buka 24 jam
pantai sembilan;Positif;"pantainya bagus,cocok buat berenang,santai,foto2
penginapan juga tersedia dari harga 300rb,500rb,dan 1jt
perjalanan stngh jam dari pelabuhan saronggi"
pantai sembilan;Netral;Orangnya ramah2 Makanan standart tidak terlalu mahal jadi tidak perlu khawatir soal makanan jajanan banyak yg jual disana ketika liburan pun buka hingga 24jam. …
pantai sembilan;Positif;Pulau ditengah laut madura dengan pemandangan indah suasana tenang serta terdapat sebuah penginapan sehingga kita bisa berlibur sehari semalam di pinggir pantai.
pantai sembilan;Negatif;Bersih. Desain unik. Namun sangat panas. Foto foto di siang hari merupakan hal yang diincar para turis. Lebih baik bawa sunblock. Jajajan disana juga tidak dijual dengan harga mahal. Pemandangan eksotis berupa banyak kapal yang sedang …
pantai sembilan;Netral;Sunrisenya oke banget, ayo liburan di pantai sembilan bareng madura vacation tour & travel, di pantai sembilan sudah tersedia 22 cottage dengan tarif 750 ribu permalam satu cottage
pantai sembilan;Positif;Tempatnya bagus, dengan tiket masuk yg lumayan tdak menguras kantong, karena akan merasa puas dengan pemandangan yg disuguhkan dan potret untuk take a picture
pantai sembilan;Positif;Jauh2 dari kota Kediri datang ke pantai sembilan,puas banget.pantainya bersih,airnya biru jernih.
pantai sembilan;Positif;Pantai sembilan sumrnep madura, adalah tempat wisata yg menyajikan pemandangan dg panorama yg eksotis, keindahan pantai yg cantik juga pasir butihnya yg bersih, disini juga menyediakan wahana bermain seperti banana boat ayunan perahu dayung …
pantai sembilan;Positif;Sgt sgt suka dgn pantai nya, ini perjalanan trvlng kami dgn modal hny 150 rb sj tetapi tdk trmsk biaya mkn, selama 3 hari mengelilingi sumenep dn sktr x
pantai sembilan;Netral;Pantai ancol versi kecil haha, perjalanan cukup seru, cukup bayar 10ribu idah bisa nyebrang ke pulau genting, lalu untuk masuk ke pantai sembilan cukup bayar 10ribu lagi. Kalau mau ganti/bilas cukup siapkan uang 5ribu. …
pantai sembilan;Netral;Pantainya msh sama cuma takingnya sdh mulai kurang baik mungkin buat para pengelola bisa segera dperbaeki
pantai sembilan;Positif;Pantainya sangat bagus, sangat cocok berlibur bersama keluarga ataupun sahabat anda. Disini juga menyediakan penginapan 300k/24jam yang isinya bisa 6-8 orang bro, mantap banget viewnya juga
pantai sembilan;Positif;Pemandangan nya MasyaAllah bagus banget. Surga dunia ??
pantai sembilan;Positif;Pantainya bagus, ada tempat penginapan. Semoga suatu saat bisa berkunjung kembali
pantai sembilan;Netral;Surga tersembunyi di ujung pulau madura
pantai sembilan;Positif;Bagus, indah dengan pengelolaan yang cukup baik. Ada penginapan dengan pendingin ruangan, cocok untuk liburan keluarga atau kantor. Masyarakat nya juga ramah.
pantai sembilan;Positif;Pantai pasir putih yg indah, penyebrangan dg kapal hanya sebentar. Untuk teman2 yg berkunjung ikut jaga kebersihan pantai ya buang sampah pd tempat yg sdh disediakan ...
pantai sembilan;Positif;Alam yg indah dan masih asri.
pantai sembilan;Negatif;Dari Kabupaten pamekasan ke ka Kabupaten  sumenep pengen mengunjungi pantai sembilan hasilnya  mengecewakan. Berangkatnya 40ribu pulang nya 40 ribu. Karcis pantai 30 ribu. Janjian  gak bakalan  kesini lagi
pantai sembilan;Negatif;Pantai nya bagus, cuaca yang sangat panas. Jarang angin yang berhembus. Ketika mencoba menyelam untuk melihat dasar laut perairan dekat bibir pantai. Sungguh mengecewakan karena banyak sekali sampah. Terutama sampah plastik. Mohon untuk …
pantai sembilan;Negatif;Tempat yang cukup bagus. Sangat rapi sebagai tempat wisata.. fasilitas memadai. Sayang, krn penggunaan plastik masih cukup tinggi di kawasan ini, cukup berbahaya untuk kesehatan lingkungan di masa mendatang. Seperti es degan yg harus di …
pantai sembilan;Positif;"Tempat yg sangat luar biasa indah, pantai yg bersih dngan air laut yg jernih.
Cocok untuk yg pengen berlibur sambil menenangkan diri karena wisatawan yg tidak terlalu banyak tiap hari nya."
pantai sembilan;Positif;Gili Genting, Pantai sembilan memang istimewa untuk liburan . Tiket masuknya cuma 10ribu rupiah saja
pantai sembilan;Netral;"Penyebrangan PP 20K
Tiket masuk 15K
Penginapan mulai harga 300, 500, 750 full ac"
pantai sembilan;Positif;Cukup bagus dan terawat, hanya sedikit kurang bersih saja pasirnya karena ada beberapa sampah
pantai sembilan;Netral;Salah satu objek wisata di Madura (Sumenep). Hamparan pasir putih di pantai ini memiliki keunikan tersendiri. Jika dilihat dari atas, garis pantai ini memiliki bentuk seperti angka sembilan dengan laguna air di tengahnya. Maka itu destinasi …
pantai sembilan;Positif;Tempatnya bagus, apalagi kalo lagi surut. Air bersihnya juga ada dan banyak. Ombaknya ga terlalu besar, tapi sayang banyak ranting-ranting daun-daunan yang bikin kurang enak dilihat. Sampah plastiknya sedikit kok
pantai sembilan;Positif;Its a beautifull beach ... it can be next destination after bali island. Airnya jernih spt kolam renang dg air yg tenang tanpa ombak jd aman utk anak2 berenang. Awesome
pantai sembilan;Positif;Tempat yg sangat nyaman dan hangat untuk bermalam. recomended banget untuk kalian melepas penat. view pantai sangat bagus, suasana malamnya sangat nyaman, fsilitas penginapan oke banget. plus, keramahan dari pak kades dan warga sekitar …
pantai sembilan;Netral;Masyaallah, banyak kepitingnya sama cumi-cumi. Jangan lupa, jika berkunjung kesini bawa pancing dan umpan udang2an. Serta jaring ikan.
pantai sembilan;Netral;kalau malam begitu eksotis... jadi pengin balik ke sini lagi ...
pantai sembilan;Positif;Pantai bersih, banyak spot foto bagus, sudah disediakan penginapan juga di kawasan pantai, banyak tempat untuk membeli makanan.
pantai sembilan;Positif;"pantai nya bersih, bagus, nyaman sekali,..
tempat sampah nya kurang jadi bnyak wisatawan yang buang sampah di laut, tempat oleh²/ souvenir masi minim banget, jadi susah kalu mau cari oleh²/kenang²an dari pantai sembilan"
pantai sembilan;Netral;Pantainya sangat indah terlebih saat sunset dan sunrise tapi lumayan panas jadi jangan lupa bawa sunscreen kalau tidak mau hitam
pantai sembilan;Positif;Tempatnya indah banget. Memang top dan layak banget buat berlibur menghilangkan stres sma keluarga maupun sama pacar
pantai sembilan;Netral;"Butuh sekitar 5 jam perjalanan darat (malam hari) dari Surabaya (Terminal Bungurasih) menuju ke Sampang, Madura...
Setelah itu, naik perahu selama setengah jam untuk sampai di Pantai Sembilan... …"
pantai sembilan;Positif;Menuju pantai sembilan masih butuh waktu penyebrangan sekitar 20-30menit menggunakan perahu, tiket masuknya cukup terjangkau. Pantainya bersih dan terawat. Disediakan beberapa penginapan seperti loji. Namun meskipu  berada di kawasan …
pantai sembilan;Positif;Pantainya ok buat liburan, airnya aman buat berenang,
pantai sembilan;Positif;Tempatnya bersih, pagi dan sore selalu ada mobil utk angkut sampah. Ombak nya sangat tenang. Harga terjangkau.
pantai sembilan;Positif;"Lingkungan pantai yang bersih. Tidak ada sampah yang berserakan.
Bagus untuk berfoto, ada banana boat & ATV"
pantai sembilan;Positif;Pantainya apik masih bersih cocok utk poto2 instagramable, ada tempat menginapnya juga, pokok e siippppp???????? …
pantai sembilan;Netral;Murmer semuanya?? mulai dr banana boat, makanan,minuman, penginapan. tapi sayangnya belum ada oleh² yang khas dari pantai sembilan. …
pantai sembilan;Netral;"Akomodasi kapal 10rb. Tiket masuk pantai 10rb, menginap 20rb. Sdh ada penyewaan kamar. Dengan rate harga antara 350 - 750rb/malam. Juga diperbolehkan mendirikan tenda sendiri.
Banyak toko/warung makanan."
pantai sembilan;Positif;Bagus banget pantai nya, naik perahu pp 20k, tiket masuk 10k
pantai sembilan;Positif;"Salah satu Wisata Terbaik di Pulau Giligenting yaitu Pantai Sembilan.

Kejernihan lautan membuat kita bisa merefresh segala kepenatan."
pantai sembilan;Positif;tempatnya sangat rekomended buat wisata pokok e.....makanan juga murah enak sesuai harga...
pantai sembilan;Positif;Pantai sangat indan . Mudah d jangkau . Sangat bersih lengkap dengan tempat2 istirahat gazebo .dan resort ... masuk cma 10rb . Toilet bersih
pantai sembilan;Positif;Pantai Di Ujung Madura di sebuah pulau yang sangat indah dan bakalan Tidak rugi untuk kesana,sangat saya sarankan Untuk mengunjungi pulau Ini
pantai sembilan;Positif;Superrr bagus ini mah.. Beneran. Kalo kesini siap2 antangin yg banyak, karna perjalanan naik perahu lbh dr 2 jam bikin kena angin terus mutah2.. ?? Over all super oke tempatnya. Disini bisa naik donat boat & banana boat jg, 50rb/org & dijamin puas banget soalnya diputer2in lamaaaaaaa. ???? …
pantai sembilan;Negatif;Pantai luas, airnya bening, fasilitas memadai, cukup instagramable. Tapi agak tercemari oleh sampah 30 menit naik kapal
pantai sembilan;Netral;Bagus cma dipasir pantainya agak kotor
pantai sembilan;Netral;Klo Naik pesawat, dari surabaya ke sumenep, trus naik kapal ke pulau Giliginting. Touring motor, motor bisa dinaikin ke kapal ?? …
pantai sembilan;Netral;Tempatnya bersih dan cocok untuk refreshing sekeluarga airnya tenang tidak berbahaya bagi anak anak.
pantai sembilan;Positif;Pantai yg bersih,, seruh ada permainan banana boat.. ada tempat duduk untuk bersantai. Ada tempat penginapannya. Keren ???? …
pantai sembilan;Netral;Tempat wisata di kabupaten sumenep. Enak untuk buat liburan keluarga, temen, ato liburan2 lainnya.
pantai sembilan;Positif;Tempat yang bagus, nyaman juga, hanya saja kurangnya petugas kebersihan. Dan tata kelola utk kulinernya, akan jauh lebih bagus jika kuliner yang dijual disana benar2 ttg madura. Bahkan bukan hanya makanan bisa juga aksesoris seperti gelang manik2 dll
pantai sembilan;Netral;Pantai Sembilan, terletak di Pulau Gili Genting Kecamatan Gili Genting Kabupaten Sumenep. Pantai dengan Pasir putih dan akses yang sangat mudah sangat memudahkan orang yang ingin berkunjung ke Destinasi ini.
pantai sembilan;Positif;Pantai  yang sangat bagus...di pulau madura exotis dan menawan meskipun menyebrang dengan prahu...
